K,MSE,ITERATIONS,EXECUTION TIME
2,1.7158347900170234e-05,525,0.21461176872253418
3,1.3941163081399033e-05,764,0.23102307319641113
4,1.2882799271252132e-05,1065,0.2825314998626709
5,1.2105672788087496e-05,1006,0.2915375232696533
6,1.1413273488303233e-05,774,0.2340226173400879
7,1.0959911905250586e-05,652,0.21102118492126465
8,1.0546106763431595e-05,669,0.22502565383911133
9,1.017617055987241e-05,574,0.2140192985534668
10,9.881949683876456e-06,528,0.20202088356018066
11,9.614042064232109e-06,477,0.19902253150939941
12,9.367416510475124e-06,481,0.2030181884765625
13,9.133843532072028e-06,432,0.19601917266845703
14,8.926191357838675e-06,364,0.1820218563079834
15,8.730853433558394e-06,338,0.18401598930358887
16,8.556081812827188e-06,317,0.17351055145263672
17,8.382928801786704e-06,281,0.16802000999450684
18,8.232435323662912e-06,285,0.17202425003051758
19,8.097716323374193e-06,268,0.17401695251464844
20,7.957165047201009e-06,277,0.18912434577941895
21,7.822478202412775e-06,230,0.1680159568786621
22,7.690270123927867e-06,234,0.17502403259277344
23,7.5616605392792025e-06,246,0.18602681159973145
24,7.43677977166346e-06,222,0.18012380599975586
25,7.313828498056729e-06,231,0.1950361728668213
26,7.1988913059595205e-06,226,0.18402600288391113
27,7.098612036293694e-06,187,0.1740114688873291
28,6.998128704527318e-06,204,0.18302369117736816
29,6.9077160427255535e-06,174,0.1710195541381836
30,6.820913810323681e-06,190,0.1940631866455078
31,6.740902602664356e-06,173,0.1825108528137207
32,6.662648188604514e-06,174,0.18401575088500977
33,6.586076491288395e-06,179,0.20802521705627441
34,6.509743593730022e-06,155,0.18301892280578613
35,6.439591168971859e-06,162,0.19302916526794434
36,6.363716078983117e-06,167,0.2077503204345703
37,6.282558156711637e-06,175,0.2100200653076172
38,6.213608614191735e-06,150,0.19510197639465332
39,6.1462011851087794e-06,144,0.19202089309692383
40,6.081867677476538e-06,139,0.18901753425598145
41,6.0216394619505564e-06,139,0.19861769676208496
42,5.959547198619575e-06,137,0.19701790809631348
43,5.89950361806757e-06,130,0.19801831245422363
44,5.838427586501993e-06,133,0.19801831245422363
45,5.780771969776666e-06,133,0.2030177116394043
46,5.719407073390137e-06,132,0.20902037620544434
47,5.667066343861826e-06,131,0.20501995086669922
48,5.610648575404831e-06,131,0.21102023124694824
49,5.556303284026676e-06,120,0.20401883125305176
50,5.489225526011943e-06,126,0.21502065658569336
