K,MSE,ITERATIONS,EXECUTION TIME
2,38.694686686932755,452,0.3695979118347168
3,31.899389628862412,577,0.4892759323120117
4,29.733666754054855,818,0.6285445690155029
5,28.007677920094643,1109,0.8063735961914062
6,26.475440555413844,1063,0.9172065258026123
7,25.546797103011613,1104,1.0587096214294434
8,24.565671564112186,1143,1.1665184497833252
9,23.749088916779407,1047,1.2549231052398682
10,23.11490591013932,1101,1.41996169090271
11,22.537930296957498,1053,1.5517804622650146
12,22.039176054906672,1082,1.6495513916015625
13,21.563986576822902,1007,1.7763521671295166
14,21.14629221196777,1021,1.8534438610076904
15,20.75637878779606,1013,2.0255582332611084
16,20.332309161052972,947,2.0934503078460693
17,20.04481137043752,989,2.228280544281006
18,19.63355406125548,960,2.344827890396118
19,19.412098523786376,978,2.4619836807250977
20,19.07876677806725,956,2.5994420051574707
21,18.881159073800557,867,2.689814329147339
22,18.545504110987267,855,2.7861785888671875
23,18.378249262414908,850,2.9719936847686768
24,18.144487291221424,845,3.080066680908203
25,17.830844243996225,837,3.172365188598633
26,17.563445297794757,829,3.308753490447998
27,17.301137706388293,754,3.3712124824523926
28,17.241794065836075,779,3.534930944442749
29,17.029847563316657,798,3.6490468978881836
30,16.580245982642655,786,3.8484654426574707
31,16.48704182292623,749,3.997540235519409
32,16.329412322336218,708,4.070223331451416
33,15.96493541618135,700,4.459888935089111
34,15.994397312364882,725,4.851281404495239
35,15.796065929861502,761,4.918896913528442
36,15.560892583543524,679,5.314857244491577
37,15.543335375628054,639,5.095216512680054
38,15.25894509715631,658,5.065617084503174
39,15.203935399477245,643,4.963391542434692
40,15.038542141033771,638,5.031474828720093
41,14.918753207899215,630,5.220255613327026
42,14.704496544133104,631,5.291307687759399
43,14.482807984440672,645,5.577595949172974
44,14.537688550412899,609,5.871023416519165
45,14.317381084314398,604,5.966296672821045
46,14.172679957232539,562,6.491239786148071
47,13.930375059722639,588,6.147523641586304
48,13.897948605899384,573,6.0527942180633545
49,13.734830298413694,564,6.0932252407073975
50,13.744449963997347,567,6.224315643310547
