K,MSE,ITERATIONS,EXECUTION TIME
2,1.7158347900170234e-05,462,0.17851543426513672
3,1.3941163081399033e-05,604,0.20253515243530273
4,1.2882799271252132e-05,861,0.26502251625061035
5,1.2105637556381055e-05,1008,0.30353403091430664
6,1.1414475218796127e-05,1080,0.3450493812561035
7,1.0961000999287762e-05,1138,0.3890531063079834
8,1.0545490850444317e-05,1065,0.3855409622192383
9,1.0197303067283059e-05,1109,0.4195742607116699
10,9.886388317892347e-06,1147,0.46109819412231445
11,9.653607657700292e-06,1091,0.4606330394744873
12,9.425828023768013e-06,1169,0.5236494541168213
13,9.216133305955942e-06,1074,0.5075681209564209
14,8.976408394700819e-06,1119,0.5580811500549316
15,8.847883042228943e-06,1119,0.577075719833374
16,8.659588875414848e-06,1040,0.582566499710083
17,8.501541020944359e-06,1018,0.6020784378051758
18,8.371756879732573e-06,1057,0.6615922451019287
19,8.306683074943422e-06,1033,0.6685926914215088
20,8.1108160596699e-06,959,0.6650876998901367
21,8.04316008962136e-06,965,0.693648099899292
22,7.901283694322636e-06,973,0.7135813236236572
23,7.844066490236834e-06,877,0.6985831260681152
24,7.727516809552526e-06,881,0.7072057723999023
25,7.61932556836431e-06,877,0.7276744842529297
26,7.440271827863221e-06,858,0.7396471500396729
27,7.41404750681518e-06,864,0.7691009044647217
28,7.327611730389982e-06,827,0.7841682434082031
29,7.2518092860685e-06,820,0.806175947189331
30,7.099878804095461e-06,789,0.8141078948974609
31,7.074440700249873e-06,788,0.8241076469421387
32,6.99454298414004e-06,725,0.8121054172515869
33,6.875009257556464e-06,750,0.8486106395721436
34,6.749957707219423e-06,785,0.884608268737793
35,6.750310774128465e-06,732,0.879605770111084
36,6.722279477844317e-06,684,0.8711957931518555
37,6.547542633073e-06,734,0.9187126159667969
38,6.486655456661161e-06,697,0.9162502288818359
39,6.309025993744832e-06,725,0.9526369571685791
40,6.462055968881053e-06,641,0.9226160049438477
41,6.342730608510649e-06,659,0.9521148204803467
42,6.328216083151261e-06,682,1.0101819038391113
43,6.198325394390913e-06,665,1.0231091976165771
44,6.18500952220824e-06,626,1.0161993503570557
45,6.062025236786006e-06,665,1.061680555343628
46,6.1317805067906406e-06,619,1.0486395359039307
47,5.981059562842894e-06,624,1.057182788848877
48,5.9338196247704644e-06,634,1.080658197402954
49,5.823863762244308e-06,615,1.0726394653320312
50,5.823314974673366e-06,583,1.0796456336975098
