K,MSE,ITERATIONS,EXECUTION TIME
2,4866.763238865391,696,0.2553393840789795
3,3675.5471440841193,581,0.19445538520812988
4,2597.5913021472925,787,0.2330760955810547
5,2176.7214940505796,847,0.2567100524902344
6,1975.5985934725184,876,0.27321434020996094
7,1788.6424061757764,847,0.2909996509552002
8,1629.5310911896356,924,0.3240396976470947
9,1489.8682922155754,645,0.2378683090209961
10,1378.2634224498552,680,0.26052188873291016
11,1283.7667646312605,665,0.2655222415924072
12,1204.5497928909028,587,0.239213228225708
13,1149.4761567102594,565,0.24337291717529297
14,1100.4522292304355,562,0.25104546546936035
15,1051.9418188744608,532,0.24793648719787598
16,1006.1363529171877,506,0.2380359172821045
17,964.6941211357243,472,0.2443699836730957
18,929.2538764139704,509,0.2664353847503662
19,893.4291286011465,473,0.25264477729797363
20,859.0140168953952,462,0.2771303653717041
21,825.9664563797124,514,0.2880589962005615
22,797.3250411213689,419,0.2560296058654785
23,770.8825698946739,430,0.2947237491607666
24,744.9058379684524,373,0.24108052253723145
25,723.6327630975982,384,0.2606661319732666
26,703.026464645701,372,0.25597214698791504
27,683.9923471447963,305,0.24142074584960938
28,666.4548621566829,306,0.23355627059936523
29,649.0500034664228,355,0.2569718360900879
30,631.794704552199,337,0.29077601432800293
31,614.975100186701,313,0.2781708240509033
32,598.5125072390595,285,0.25707507133483887
33,584.7547096271657,246,0.24094033241271973
34,571.1148369888622,240,0.2415330410003662
35,558.0547116210452,256,0.24171781539916992
36,545.3535678301862,264,0.2579343318939209
37,533.6146177852521,268,0.2752559185028076
38,522.3550992388049,258,0.2588839530944824
39,511.6375878906815,254,0.2758798599243164
40,500.5330700544839,267,0.28835606575012207
41,490.2229584133912,250,0.2867870330810547
42,480.24878502437036,250,0.296314001083374
43,470.39626544731584,224,0.2797424793243408
44,460.62971828720833,228,0.28441309928894043
45,451.6670456687639,206,0.2711970806121826
46,442.98594185164194,230,0.28525567054748535
47,433.83679149856357,217,0.2986631393432617
48,425.28018026515053,223,0.29262876510620117
49,417.1976553136135,216,0.30158281326293945
50,409.30842141455304,193,0.29730653762817383
