K,MSE,ITERATIONS,EXECUTION TIME
2,4866.763238865391,736,0.2870669364929199
3,3675.5471440841193,599,0.20949578285217285
4,2597.5913021472925,842,0.2667086124420166
5,2176.7214940505796,910,0.2971048355102539
6,1975.5985934725184,861,0.2999751567840576
7,1788.6424061757764,925,0.3031444549560547
8,1629.5310911896356,924,0.33339667320251465
9,1489.8682922155754,673,0.267719030380249
10,1378.2634224498552,659,0.2652299404144287
11,1283.7667646312605,646,0.2688934803009033
12,1204.5497928909028,583,0.2649955749511719
13,1149.8295264190565,527,0.25098609924316406
14,1100.448635748665,550,0.26943278312683105
15,1049.668556322215,512,0.26113438606262207
16,1003.8630903649419,454,0.24520063400268555
17,963.3423844377917,497,0.2687525749206543
18,927.5751178930049,457,0.25892019271850586
19,892.6483176312158,468,0.2888791561126709
20,858.7385835153519,433,0.28855013847351074
21,826.9634580444957,473,0.317537784576416
22,795.9910035218078,460,0.3302898406982422
23,769.2238753612385,433,0.29401707649230957
24,743.5669421203179,387,0.28420066833496094
25,722.6951292803827,337,0.26676321029663086
26,702.7080329962354,326,0.2738649845123291
27,682.9877278272057,347,0.29740095138549805
28,665.5828691369455,310,0.2695474624633789
29,648.3275702227218,309,0.2583456039428711
30,631.1519516247943,303,0.26809215545654297
31,614.8250774555121,277,0.27806854248046875
32,599.0382025060458,310,0.28952717781066895
33,583.8069235836599,274,0.28133702278137207
34,569.8854623111711,254,0.25586557388305664
35,556.1276646992773,231,0.2501657009124756
36,543.0675393314602,230,0.25164318084716797
37,530.3663955406014,238,0.2645268440246582
38,519.1068769941542,249,0.3022143840789795
39,508.7915474821676,230,0.2714047431945801
40,498.48143584107476,229,0.32210469245910645
41,488.27885104802937,228,0.32706308364868164
42,478.31114145824046,241,0.35033535957336426
43,468.458621881186,238,0.3113546371459961
44,457.8144714239151,228,0.30701160430908203
45,448.97167855242526,241,0.3270106315612793
46,440.2905747353033,212,0.29485177993774414
47,431.89101483502895,214,0.29398584365844727
48,423.91910458893534,210,0.30324387550354004
49,416.220333871663,214,0.3207271099090576
50,409.44734296854165,192,0.279649019241333
