K,MSE,ITERATIONS,EXECUTION TIME
2,13.548465245494345,558,0.37615394592285156
3,9.678257398362156,553,0.46043968200683594
4,7.371294533621635,774,0.6187379360198975
5,6.416000376837009,876,0.7739732265472412
6,5.843518892342589,1015,0.913250207901001
7,5.313526189286399,1166,1.0779228210449219
8,4.888940026996444,1183,1.2474679946899414
9,4.632219864618441,1276,1.360558032989502
10,4.38233242249375,1172,1.4119136333465576
11,4.168171793719637,1269,1.5672082901000977
12,3.9194427975237915,1119,1.6830642223358154
13,3.7065870962499927,1184,1.7647781372070312
14,3.5659179618168415,1161,1.8967769145965576
15,3.4759471413300513,1193,2.0201022624969482
16,3.2945773998825088,1287,2.210557460784912
17,3.188672769957708,1092,2.2447102069854736
18,3.1046349084048144,1135,2.4036388397216797
19,2.989964009079295,1069,2.5072102546691895
20,2.9143712941744804,1050,2.620678424835205
21,2.8090268908692373,1089,2.7954375743865967
22,2.7168579413225573,1130,2.9120688438415527
23,2.662472678987579,1048,3.0079586505889893
24,2.6164872200505336,980,3.101409912109375
25,2.5421314139356617,1005,3.2409276962280273
26,2.44722619831429,1010,3.386315107345581
27,2.40604736345938,1013,3.499246597290039
28,2.3457298091776497,991,3.613956928253174
29,2.2913456225622855,916,3.715658187866211
30,2.2414664133802704,884,3.8076372146606445
31,2.185277426893151,905,3.974520206451416
32,2.152358345943266,905,4.124346494674683
33,2.0935368076602727,910,4.254471063613892
34,2.046783149668461,914,4.41879677772522
35,2.001494178781547,899,4.5771026611328125
36,1.9304105640813167,921,4.697159767150879
37,1.8949672779575146,847,4.714281797409058
38,1.8821587705076488,850,4.883798599243164
39,1.839423324023533,834,5.0262556076049805
40,1.81698214939323,828,5.077673435211182
41,1.760750603676513,838,5.123718976974487
42,1.7510746995463577,821,5.314543008804321
43,1.710710730531256,846,5.4185638427734375
44,1.6843985462883913,819,5.695698261260986
45,1.63128025113576,826,5.927908420562744
46,1.6415006689417393,751,6.182323932647705
47,1.5892560006446286,786,6.355738162994385
48,1.5705854611136396,749,6.169882297515869
49,1.5498868594592574,729,6.458724498748779
50,1.533248905772842,749,6.63275933265686
