K,MSE,ITERATIONS,EXECUTION TIME
2,109.72762982474359,1743,0.5867307186126709
3,82.2579470508037,2680,0.7027649879455566
4,72.05259024963304,3521,0.8358488082885742
5,63.96052635172512,3354,0.87209153175354
6,58.712495775266476,3081,0.8176188468933105
7,54.08172333153305,3431,0.89103102684021
8,50.14474658701818,3555,0.9500927925109863
9,47.62995796072221,2950,0.8408873081207275
10,45.41643873053751,2929,0.9007890224456787
11,43.189871088127994,2885,0.9341113567352295
12,41.066606327385315,2158,0.7488138675689697
13,39.59374705142888,1826,0.6848325729370117
14,38.239203410470196,1826,0.7071390151977539
15,36.93692467130356,1844,0.7327365875244141
16,35.731952698342454,1840,0.7585005760192871
17,34.63044150468956,1762,0.766716718673706
18,33.536633696156905,1718,0.7666239738464355
19,32.52649127931575,1619,0.7500321865081787
20,31.528665648234334,1589,0.7666850090026855
21,30.535888211238305,1633,0.8100607395172119
22,29.62660067675694,1619,0.8413307666778564
23,28.75228833397236,1538,0.8153748512268066
24,27.92831551849177,1525,0.835195779800415
25,27.195438858038386,1456,0.8298299312591553
26,26.50106477513942,1430,0.8338601589202881
27,25.835461011140044,1358,0.8169679641723633
28,25.177422095571558,1308,0.8580830097198486
29,24.501300037955083,1264,0.8420946598052979
30,23.92760221533178,1191,0.8254292011260986
31,23.39877059340446,1186,0.8492007255554199
32,22.871083579058812,1161,0.8444161415100098
33,22.344167119424363,1158,0.8413410186767578
34,21.84651825894862,1112,0.8396651744842529
35,21.370942160881896,1054,0.8274073600769043
36,20.900805754456485,1039,0.8336431980133057
37,20.50037841046835,1021,0.832472562789917
38,20.104845561103282,1018,0.8528742790222168
39,19.715050706061554,989,0.8639721870422363
40,19.33421853173682,977,0.8691236972808838
41,18.956185870343486,916,0.8599867820739746
42,18.600163987227425,909,0.8662421703338623
43,18.246549539174353,906,0.8829481601715088
44,17.909328089591412,883,0.882056713104248
45,17.58057280497289,864,0.8913843631744385
46,17.272672849736118,834,0.892113447189331
47,16.958330620853065,830,0.8831562995910645
48,16.688774358395197,817,0.8845934867858887
49,16.415599394767064,795,0.8842482566833496
50,16.155200513047,779,0.8886985778808594
