K,MSE,ITERATIONS,EXECUTION TIME
2,109.73584788131902,516,0.20162272453308105
3,82.2579470508037,822,0.22122454643249512
4,72.05259024963304,1003,0.2680661678314209
5,63.96052635172512,1056,0.290585994720459
6,58.71499871737369,889,0.26679348945617676
7,54.08172333153305,912,0.2674119472503662
8,50.14474658701818,931,0.28626227378845215
9,47.68185779586216,758,0.24594950675964355
10,45.41845561062567,807,0.2650127410888672
11,43.18042753783805,709,0.2501533031463623
12,41.06048893636101,590,0.22274494171142578
13,39.58762966040457,461,0.199995756149292
14,38.285350921237935,453,0.19576501846313477
15,36.9942824203486,476,0.21348357200622559
16,35.78600986873177,495,0.2272331714630127
17,34.62611599693762,479,0.22648072242736816
18,33.537248965450516,427,0.2072582244873047
19,32.510728180750164,436,0.22967219352722168
20,31.502167847744616,387,0.2102820873260498
21,30.509390410748587,391,0.27526378631591797
22,29.60010287626723,382,0.23900270462036133
23,28.73385119797601,384,0.22894835472106934
24,27.95881795921981,379,0.23459815979003906
25,27.24139085255068,334,0.2182936668395996
26,26.56480206814098,346,0.22553157806396484
27,25.902413270998945,295,0.21735644340515137
28,25.30657609483182,317,0.22530102729797363
29,24.637379526476018,310,0.2341907024383545
30,24.063681703852716,306,0.2450244426727295
31,23.531122622245228,297,0.24894165992736816
32,23.003435607899583,277,0.23226666450500488
33,22.48897297687813,306,0.2601008415222168
34,22.01178648585131,270,0.242018461227417
35,21.521088705844555,278,0.25266051292419434
36,21.075239323112367,287,0.27536892890930176
37,20.64191038154496,279,0.2542762756347656
38,20.186895915406414,251,0.25195908546447754
39,19.769268975232645,259,0.26438117027282715
40,19.380120566631398,254,0.26900172233581543
41,18.984289055437245,240,0.2530970573425293
42,18.61916693831693,216,0.2639436721801758
43,18.26314505520087,200,0.24652552604675293
44,17.92563708292406,207,0.2436361312866211
45,17.588156361469878,196,0.23099803924560547
46,17.277101260539066,209,0.2569396495819092
47,16.99545198383273,183,0.25278306007385254
48,16.714886345102364,196,0.25645947456359863
49,16.45605585122997,200,0.27095699310302734
50,16.190313731883453,184,0.2580254077911377
