K,MSE,ITERATIONS,EXECUTION TIME
2,109.73584788131902,536,0.20044541358947754
3,82.2579470508037,828,0.2536485195159912
4,72.05259024963304,1070,0.2822418212890625
5,63.96052635172512,1031,0.287109375
6,58.71499871737369,947,0.26047420501708984
7,54.08172333153305,967,0.27809643745422363
8,50.14474658701818,968,0.29089832305908203
9,47.6324810262572,775,0.2534956932067871
10,45.422170688345744,795,0.2636451721191406
11,43.22432514490507,668,0.24690866470336914
12,41.12852335284099,630,0.2464604377746582
13,39.655664076884555,464,0.20283055305480957
14,38.35338533771791,470,0.21993589401245117
15,37.01864331710709,484,0.212752103805542
16,35.805559423401334,465,0.2355494499206543
17,34.66409072923242,439,0.22951912879943848
18,33.54106869411385,443,0.2355942726135254
19,32.54601643727162,454,0.24913954734802246
20,31.549663382935552,385,0.22498393058776855
21,30.562923075272174,431,0.25284814834594727
22,29.67392861941771,449,0.2608063220977783
23,28.809835267075144,364,0.23142027854919434
24,28.0381030883945,394,0.26776599884033203
25,27.306790508080056,370,0.26491212844848633
26,26.592369896447753,363,0.2599143981933594
27,25.908102281144593,332,0.24573421478271484
28,25.318377641654926,334,0.2541482448577881
29,24.748646538625408,300,0.23590755462646484
30,24.157204758785873,318,0.24894928932189941
31,23.62951774444023,289,0.2567861080169678
32,23.07798994763874,282,0.2521817684173584
33,22.571576087184532,281,0.253953218460083
34,22.07791580173108,268,0.23704123497009277
35,21.60777939530567,253,0.2624478340148926
36,21.143937264083817,277,0.2668161392211914
37,20.75218812143306,262,0.2608225345611572
38,20.30757338159554,231,0.24449539184570312
39,19.918835159045088,242,0.2566568851470947
40,19.535648827098143,250,0.26995229721069336
41,19.158824816967048,243,0.2670290470123291
42,18.798421025269107,210,0.2658088207244873
43,18.44239914215305,217,0.26763296127319336
44,18.09117758001971,206,0.26445937156677246
45,17.756274161490396,241,0.29173851013183594
46,17.439151624992217,238,0.2935943603515625
47,17.151458553058355,216,0.28224706649780273
48,16.862999230393218,214,0.27567553520202637
49,16.580875053864688,208,0.2745785713195801
50,16.303928598421976,199,0.2751905918121338
