K,MSE,ITERATIONS,EXECUTION TIME
2,5.821848516718298e-06,896,0.2975771427154541
3,4.141049747552472e-06,648,0.20953702926635742
4,3.0880131015598167e-06,907,0.2505629062652588
5,2.6827379071558966e-06,994,0.28856706619262695
6,2.4414684121065733e-06,937,0.2840538024902344
7,2.2193230561073918e-06,1057,0.3110830783843994
8,2.04055591923602e-06,1032,0.3175642490386963
9,1.9248362591595125e-06,827,0.2766871452331543
10,1.8191281898616296e-06,797,0.27555346488952637
11,1.717493281261362e-06,866,0.30655360221862793
12,1.6240276463630465e-06,801,0.3085453510284424
13,1.5349051371016387e-06,641,0.2625288963317871
14,1.455471451139445e-06,505,0.23204517364501953
15,1.3982128772571656e-06,505,0.23754143714904785
16,1.3451481799542364e-06,507,0.25302982330322266
17,1.2962460023135947e-06,495,0.24753832817077637
18,1.2530039275038263e-06,480,0.2430264949798584
19,1.209366313648097e-06,486,0.25653886795043945
20,1.1698655222325272e-06,428,0.252044677734375
21,1.1326927886745608e-06,411,0.2455282211303711
22,1.0957041753911767e-06,401,0.24602484703063965
23,1.0634010660925952e-06,416,0.26053929328918457
24,1.0324380350645868e-06,379,0.25202322006225586
25,1.0015457710954578e-06,360,0.2415297031402588
26,9.765732911226621e-07,335,0.23902416229248047
27,9.517896962796257e-07,376,0.27355289459228516
28,9.26018161151454e-07,344,0.26453471183776855
29,9.018165151308821e-07,324,0.24802112579345703
30,8.780480040826433e-07,378,0.28554773330688477
31,8.555365409446125e-07,294,0.24906373023986816
32,8.349280526953606e-07,319,0.2675619125366211
33,8.14992969444539e-07,302,0.26057863235473633
34,7.964852083430785e-07,268,0.24605798721313477
35,7.785200146770421e-07,287,0.26657676696777344
36,7.61018496664434e-07,262,0.25205254554748535
37,7.437893989603594e-07,259,0.2575700283050537
38,7.273163186161113e-07,283,0.27757692337036133
39,7.117136948675551e-07,244,0.2580406665802002
40,6.974407272819505e-07,242,0.2605745792388916
41,6.819436636495979e-07,244,0.26859474182128906
42,6.676254274973203e-07,238,0.26502156257629395
43,6.535736751800414e-07,227,0.26755809783935547
44,6.410780324372922e-07,233,0.2785670757293701
45,6.277388824305064e-07,210,0.26004743576049805
46,6.166152403119796e-07,213,0.26621007919311523
47,6.055936865312361e-07,211,0.2762303352355957
48,5.953798816182854e-07,195,0.26004576683044434
49,5.854332417731811e-07,215,0.282529354095459
50,5.756113291566223e-07,199,0.2725372314453125
