K,MSE,ITERATIONS,EXECUTION TIME
2,5.821848516718298e-06,553,0.3890562057495117
3,4.141049747552472e-06,668,0.5175790786743164
4,3.0880131015598167e-06,659,0.5960900783538818
5,2.6827379071558966e-06,868,0.7686481475830078
6,2.4414684121065733e-06,1026,0.9256999492645264
7,2.2161647017515662e-06,1061,1.036268711090088
8,2.0412028706173757e-06,1240,1.2305781841278076
9,1.9274440296035422e-06,1274,1.370063304901123
10,1.8178664396018007e-06,1216,1.4818322658538818
11,1.722116956148767e-06,1189,1.6317710876464844
12,1.6323503828630237e-06,1224,1.756742000579834
13,1.5536155785200734e-06,1168,1.8286774158477783
14,1.4784791030342248e-06,1241,1.962888479232788
15,1.437415495741945e-06,1202,2.0598948001861572
16,1.3891876610161447e-06,1192,2.232295274734497
17,1.3249994735842208e-06,1143,2.3643643856048584
18,1.2683751583475456e-06,1154,2.528538465499878
19,1.2349357840779618e-06,1107,2.6875767707824707
20,1.1997807349839462e-06,1060,2.8036434650421143
21,1.1748143922130083e-06,1095,2.844118356704712
22,1.1329102100887667e-06,1063,2.988203525543213
23,1.087781540731747e-06,1108,3.1001312732696533
24,1.072034366056407e-06,1034,3.2102339267730713
25,1.0448407130603243e-06,1011,3.3375089168548584
26,1.0007811244161502e-06,993,3.389626979827881
27,9.927239656981612e-07,930,3.4899163246154785
28,9.536429400602842e-07,986,3.593022346496582
29,9.420742284049766e-07,946,3.721952199935913
30,9.196101730113426e-07,912,3.8462276458740234
31,9.046287572367362e-07,952,3.9995131492614746
32,8.747187251190169e-07,953,4.082046985626221
33,8.616460964727679e-07,930,4.19588303565979
34,8.402454828582151e-07,921,4.338189363479614
35,8.210522560725408e-07,876,4.345513343811035
36,8.104737595493461e-07,836,4.550335645675659
37,7.95334242131851e-07,858,4.86054539680481
38,7.63607328702065e-07,844,4.916872978210449
39,7.610629420007342e-07,823,4.888343572616577
40,7.463414687380876e-07,834,5.14736008644104
41,7.280334680670464e-07,824,5.1809351444244385
42,7.260891481397636e-07,798,5.264342308044434
43,7.031001053592334e-07,811,5.354233264923096
44,7.009043208050514e-07,814,5.624014377593994
45,6.673954838776197e-07,796,5.713937997817993
46,6.64918795467706e-07,771,5.76908802986145
47,6.448834433125938e-07,799,5.9496564865112305
48,6.472858380401902e-07,742,6.10653829574585
49,6.386547671821674e-07,786,6.210191249847412
50,6.191168051561391e-07,738,6.306386470794678
