K,MSE,ITERATIONS,EXECUTION TIME
2,5.821848516718298e-06,2908,0.8580927848815918
3,4.141049747552472e-06,2203,0.6295919418334961
4,3.0880131015598167e-06,3119,0.7615830898284912
5,2.6827379071558966e-06,3264,0.8180935382843018
6,2.4414684121065733e-06,3194,0.8335974216461182
7,2.2193230561073918e-06,3455,0.8956053256988525
8,2.04055591923602e-06,3739,0.9961104393005371
9,1.9248362591595125e-06,3079,0.8996953964233398
10,1.8191281898616296e-06,3076,0.9597153663635254
11,1.717493281261362e-06,3138,1.024763584136963
12,1.6240276463630465e-06,2988,1.0392041206359863
13,1.5349051371016387e-06,2226,0.8292183876037598
14,1.455471451139445e-06,1809,0.7351994514465332
15,1.3975072015171008e-06,1808,0.7586920261383057
16,1.3402486276348213e-06,1826,0.7951152324676514
17,1.2955148414039996e-06,1819,0.8299612998962402
18,1.2529629455082514e-06,1788,0.8441004753112793
19,1.2113778781186468e-06,1778,0.8656373023986816
20,1.1708534458643172e-06,1614,0.8292062282562256
21,1.1350471771365278e-06,1548,0.8231909275054932
22,1.0991324616016485e-06,1549,0.8527243137359619
23,1.062670610951777e-06,1438,0.8421885967254639
24,1.0283582423387116e-06,1495,0.8886873722076416
25,9.979095885181977e-07,1493,0.9046831130981445
26,9.724641444330828e-07,1448,0.8826556205749512
27,9.472212758598886e-07,1428,0.9075744152069092
28,9.22090596544578e-07,1368,0.8996150493621826
29,8.973070017015417e-07,1301,0.8876006603240967
30,8.731053556809698e-07,1294,0.9066014289855957
31,8.509541318257874e-07,1292,0.9561450481414795
32,8.296845956934362e-07,1239,0.9201772212982178
33,8.097495124426146e-07,1176,0.906688928604126
34,7.91116805842762e-07,1159,0.9217257499694824
35,7.73463514236461e-07,1139,0.9316983222961426
36,7.560672408146729e-07,1103,0.9372344017028809
37,7.390792591266404e-07,1094,0.9456210136413574
38,7.231078578140426e-07,1081,0.9541387557983398
39,7.087953310946915e-07,1057,0.9626250267028809
40,6.935375359562457e-07,1006,0.9321455955505371
41,6.794857836389667e-07,970,0.9047274589538574
42,6.661408797903334e-07,967,0.953636884689331
43,6.534989528406143e-07,952,0.9472057819366455
44,6.411919224458273e-07,940,0.9516875743865967
45,6.289584846275176e-07,909,0.9602353572845459
46,6.175922094842079e-07,869,0.94368577003479
47,6.062535083950493e-07,840,0.9362132549285889
48,5.963068685499451e-07,819,0.9706134796142578
49,5.864789561771389e-07,798,0.959129810333252
50,5.7665704356058e-07,800,0.9841325283050537
