K,MSE,ITERATIONS,EXECUTION TIME
2,5.821848516718298e-06,843,0.2710545063018799
3,4.141049747552472e-06,614,0.18105220794677734
4,3.0880131015598167e-06,918,0.24356389045715332
5,2.6827379071558966e-06,1000,0.2800331115722656
6,2.4414684121065733e-06,874,0.2485342025756836
7,2.2193230561073918e-06,982,0.2775382995605469
8,2.04055591923602e-06,963,0.2845489978790283
9,1.9248362591595125e-06,758,0.24102377891540527
10,1.8191281898616296e-06,811,0.2655370235443115
11,1.717493281261362e-06,837,0.2820291519165039
12,1.6240276463630465e-06,828,0.2945404052734375
13,1.5349051371016387e-06,614,0.23453450202941895
14,1.455471451139445e-06,506,0.20802521705627441
15,1.3982128772571656e-06,513,0.21502304077148438
16,1.3402486276348213e-06,487,0.2230243682861328
17,1.2968589181427959e-06,483,0.2220289707183838
18,1.2529813834261105e-06,480,0.2335357666015625
19,1.211777340803799e-06,449,0.22502446174621582
20,1.172040626107318e-06,446,0.23403215408325195
21,1.1374546475817482e-06,399,0.22553396224975586
22,1.1040301141074238e-06,408,0.23302531242370605
23,1.0697220974575927e-06,391,0.23102402687072754
24,1.0335106924719284e-06,403,0.24053621292114258
25,1.0026517988093175e-06,379,0.2430262565612793
26,9.773181504080242e-07,370,0.24054265022277832
27,9.530706522875576e-07,351,0.2390303611755371
28,9.288690062669858e-07,364,0.24504351615905762
29,9.046505111687253e-07,354,0.25154805183410645
30,8.806152133056244e-07,354,0.2510519027709961
31,8.569454192919324e-07,352,0.25755786895751953
32,8.348211056885546e-07,341,0.2535586357116699
33,8.145337605514058e-07,305,0.24262547492980957
34,7.954521622499655e-07,295,0.24105072021484375
35,7.76484565423452e-07,297,0.25655436515808105
36,7.582041132714323e-07,267,0.23304200172424316
37,7.414443200515208e-07,273,0.2515566349029541
38,7.265439270209839e-07,260,0.24102282524108887
39,7.112001790821054e-07,265,0.2465353012084961
40,6.96706074720943e-07,231,0.23202276229858398
41,6.826543224036641e-07,235,0.2445378303527832
42,6.692276528497132e-07,233,0.24302268028259277
43,6.558810327073061e-07,199,0.220048189163208
44,6.439016984050028e-07,197,0.22205638885498047
45,6.327534735062201e-07,224,0.25255751609802246
46,6.213072727412339e-07,199,0.2340242862701416
47,6.100792819818679e-07,217,0.25153279304504395
48,5.993960765504625e-07,201,0.24402308464050293
49,5.887991220143718e-07,202,0.2525496482849121
50,5.784574181877389e-07,213,0.2620275020599365
