K,MSE,ITERATIONS,EXECUTION TIME
2,5.821848516718298e-06,557,0.19302797317504883
3,4.141049747552472e-06,718,0.2370307445526123
4,3.0880131015598167e-06,891,0.27002501487731934
5,2.6827379071558966e-06,1118,0.34204959869384766
6,2.4417907086293766e-06,1060,0.35154175758361816
7,2.217218802114118e-06,1328,0.42805981636047363
8,2.039357461680602e-06,1314,0.43659019470214844
9,1.9315582571177714e-06,1302,0.4695911407470703
10,1.8412810887102893e-06,1433,0.5295977592468262
11,1.7500049706020704e-06,1374,0.5435903072357178
12,1.6586876332436162e-06,1393,0.5651061534881592
13,1.59914896569191e-06,1422,0.6051161289215088
14,1.5509452261364132e-06,1278,0.6041305065155029
15,1.4847894710401377e-06,1353,0.6578884124755859
16,1.423218896956513e-06,1221,0.6500852108001709
17,1.3934777971513768e-06,1358,0.7435908317565918
18,1.3291879882304514e-06,1259,0.7235901355743408
19,1.250146255959983e-06,1240,0.7340867519378662
20,1.2278116364727865e-06,1209,0.7461092472076416
21,1.1918119053877518e-06,1132,0.724583625793457
22,1.2156842397192946e-06,1109,0.751115083694458
23,1.1724826433079372e-06,1138,0.7940895557403564
24,1.0809274045842088e-06,1124,0.80759596824646
25,1.0664081518951818e-06,1061,0.8097050189971924
26,1.0937082020046063e-06,1053,0.8096578121185303
27,9.932441221716104e-07,1012,0.8467023372650146
28,1.003537628552209e-06,1084,0.9162147045135498
29,9.949249540897043e-07,1037,0.9191422462463379
30,9.549135359110394e-07,1025,0.9496216773986816
31,9.157611897681051e-07,995,0.9481353759765625
32,9.015894661956736e-07,971,0.953125
33,8.962669368894893e-07,977,0.9866466522216797
34,8.806212032919092e-07,919,0.9587130546569824
35,8.409051870383877e-07,964,1.004225254058838
36,8.622599412255738e-07,963,1.05271315574646
37,8.184297299873577e-07,948,1.083003044128418
38,8.547801674252398e-07,887,1.0386114120483398
39,7.967089239446778e-07,880,1.0476281642913818
40,7.777609701831167e-07,859,1.0716800689697266
41,7.674279025593478e-07,943,1.1931250095367432
42,7.359422387054337e-07,896,1.1947481632232666
43,7.677628388602642e-07,865,1.1720952987670898
44,7.13861062151544e-07,879,1.223365306854248
45,6.930733951193702e-07,824,1.2061827182769775
46,7.114860401946643e-07,851,1.2529330253601074
47,6.932008053128769e-07,785,1.344794750213623
48,6.867638921992381e-07,834,1.434823751449585
49,6.780036313491777e-07,816,1.3141000270843506
50,6.640971288440767e-07,796,1.2981841564178467
