K,MSE,ITERATIONS,EXECUTION TIME
2,74.78326523701894,1878,0.61684250831604
3,54.8854007455097,2333,0.6449453830718994
4,45.81939838234966,3371,0.8053114414215088
5,40.323676918837194,3470,0.8698534965515137
6,36.90332130564754,3123,0.8237910270690918
7,33.794010341598195,3343,0.8671541213989258
8,31.21907235801677,3499,0.9391355514526367
9,29.657559126629153,2865,0.8399474620819092
10,28.194505046495014,3000,0.8899948596954346
11,26.754255745828885,3051,0.9547431468963623
12,25.429672314181673,2161,0.7454116344451904
13,24.34967184706783,1823,0.6810152530670166
14,23.3198451114388,1823,0.716700553894043
15,22.42518207004536,1821,0.7471849918365479
16,21.65698871620294,1799,0.7520902156829834
17,20.960275864255618,1773,0.7751190662384033
18,20.299259913648292,1751,0.7948529720306396
19,19.640940758272208,1620,0.7685112953186035
20,19.0135878790882,1606,0.7930073738098145
21,18.45272367802151,1535,0.7885894775390625
22,17.886035622411022,1537,0.8101716041564941
23,17.321015762291267,1492,0.8165957927703857
24,16.787562747819877,1488,0.8233120441436768
25,16.308970113860287,1450,0.8707420825958252
26,15.891521338514403,1420,0.8488035202026367
27,15.492013296225636,1379,0.85032057762146
28,15.095864988851215,1238,0.8068225383758545
29,14.713753931483069,1220,0.8229410648345947
30,14.345602993401842,1203,0.8349685668945312
31,13.999393906804062,1198,0.8599245548248291
32,13.666844371937772,1196,0.8824367523193359
33,13.349186924821545,1128,0.8656268119812012
34,13.047803531581966,1103,0.8558592796325684
35,12.748676969949125,1045,0.8627967834472656
36,12.475853149356386,1028,0.8883817195892334
37,12.216097920766384,1016,0.9192585945129395
38,11.967431653314485,997,0.9297988414764404
39,11.724571662318493,961,0.8902344703674316
40,11.504300935319556,948,0.8895988464355469
41,11.28788721978521,945,0.9050135612487793
42,11.07308952673164,918,0.8903505802154541
43,10.868724268471068,902,0.9137883186340332
44,10.671078389567429,887,0.9554684162139893
45,10.48431903299556,871,0.916257381439209
46,10.303863960181038,841,0.9084346294403076
47,10.124234912832787,847,0.9246199131011963
48,9.932790600047616,852,0.9753551483154297
49,9.75329514452033,807,0.9587535858154297
50,9.60135097537184,776,0.9900953769683838
