K,MSE,ITERATIONS,EXECUTION TIME
2,3917.022077922078,100,0.08994793891906738
3,3904.187622149838,100,0.07588386535644531
4,3891.352941176471,100,0.07809686660766602
5,3878.5180327868857,100,0.08023667335510254
6,3865.682894736842,100,0.07528138160705566
7,3852.8475247524752,100,0.07607626914978027
8,3840.011920529801,100,0.09219574928283691
9,3827.1760797342185,100,0.08150076866149902
10,3814.34,100,0.09593772888183594
11,3801.503678929766,100,0.08843469619750977
12,3788.6671140939598,100,0.09783315658569336
13,3775.830303030303,100,0.10312199592590332
14,3762.9932432432433,100,0.09980988502502441
15,3750.15593220339,100,0.09485983848571777
16,3737.318367346939,100,0.10954880714416504
17,3724.4805460750854,100,0.10717964172363281
18,3711.642465753425,100,0.09945178031921387
19,3698.8041237113403,100,0.11878752708435059
20,3685.9655172413795,100,0.10666728019714355
21,3673.126643598616,100,0.11853885650634766
22,3660.2875,100,0.11662817001342773
23,3647.4480836236935,100,0.1306171417236328
24,3634.6083916083917,100,0.11801481246948242
25,3621.7684210526318,100,0.1326444149017334
26,3608.9281690140847,100,0.13028430938720703
27,3596.087632508834,100,0.13214373588562012
28,3583.25390070922,100,0.12845516204833984
29,3570.4128113879005,100,0.13200926780700684
30,3557.5714285714284,100,0.12900662422180176
31,3544.7297491039426,100,0.14857006072998047
32,3531.894964028777,100,0.13860034942626953
33,3519.0527075812274,100,0.15000486373901367
34,3506.2101449275365,100,0.1468181610107422
35,3493.3672727272733,100,0.15154528617858887
36,3480.524087591241,100,0.15367507934570312
37,3467.680586080586,100,0.15741467475891113
38,3454.8367647058826,100,0.14993906021118164
39,3441.9926199261995,100,0.17052292823791504
40,3429.1481481481483,100,0.15924906730651855
41,3416.3033457249076,100,0.16929221153259277
42,3403.458208955224,100,0.16645002365112305
43,3390.612734082397,100,0.16949057579040527
44,3377.7669172932333,100,0.16951298713684082
45,3364.9283018867927,100,0.18087029457092285
46,3352.089393939394,100,0.17856121063232422
47,3339.2501901140686,100,0.1749117374420166
48,3326.410687022901,100,0.17483758926391602
49,3313.5708812260536,100,0.18817663192749023
50,3300.723076923077,100,0.17859339714050293
