K,MSE,ITERATIONS,EXECUTION TIME
2,3917.022077922078,100,0.0837242603302002
3,3904.187622149838,100,0.08837461471557617
4,3891.352941176471,100,0.0916907787322998
5,3878.5180327868857,100,0.08911466598510742
6,3865.6828947368426,100,0.0967097282409668
7,3852.8475247524752,100,0.10018706321716309
8,3840.011920529801,100,0.09705495834350586
9,3827.176079734219,100,0.09996390342712402
10,3814.3400000000006,100,0.1078188419342041
11,3801.503678929766,100,0.11104583740234375
12,3788.6671140939598,100,0.1042788028717041
13,3775.830303030303,100,0.11682271957397461
14,3762.9932432432433,100,0.11657094955444336
15,3750.15593220339,100,0.1275942325592041
16,3737.318367346939,100,0.12234902381896973
17,3724.480546075085,100,0.13700008392333984
18,3711.6424657534244,100,0.1296219825744629
19,3698.8041237113403,100,0.13460659980773926
20,3685.9655172413795,100,0.13647007942199707
21,3673.126643598616,100,0.1403212547302246
22,3660.2875,100,0.14091038703918457
23,3647.4480836236935,100,0.14585494995117188
24,3634.6083916083917,100,0.142503023147583
25,3621.7684210526318,100,0.14886260032653809
26,3608.9281690140847,100,0.15151762962341309
27,3596.087632508834,100,0.15642786026000977
28,3583.2468085106384,100,0.1517941951751709
29,3570.4056939501784,100,0.15410804748535156
30,3557.5642857142857,100,0.15972542762756348
31,3544.7225806451615,100,0.1588575839996338
32,3531.8877697841726,100,0.16758084297180176
33,3519.0454873646213,100,0.15833401679992676
34,3506.202898550725,100,0.16449689865112305
35,3493.3599999999997,100,0.18489432334899902
36,3480.516788321168,100,0.167982816696167
37,3467.6732600732603,100,0.17746376991271973
38,3454.836764705882,100,0.17258191108703613
39,3442.0,100,0.18150568008422852
40,3429.155555555556,100,0.19034433364868164
41,3416.3033457249076,100,0.18372273445129395
42,3403.458208955224,100,0.18543171882629395
43,3390.612734082397,100,0.18990254402160645
44,3377.7744360902257,100,0.1898798942565918
45,3364.9358490566037,100,0.19436979293823242
46,3352.0893939393945,100,0.19824576377868652
47,3339.250190114068,100,0.20058488845825195
48,3326.410687022901,100,0.19983196258544922
49,3313.5708812260536,100,0.20209193229675293
50,3300.7307692307695,100,0.22023677825927734
