K,MSE,ITERATIONS,EXECUTION TIME
2,489.34311560757675,106,0.1163949966430664
3,487.24363333949367,101,0.11985921859741211
4,484.9774861486445,102,0.12121891975402832
5,482.8068387479603,103,0.12494039535522461
6,480.80710139007516,104,0.1287841796875
7,479.2063227788514,100,0.1294543743133545
8,477.3219144420865,102,0.12894535064697266
9,475.7219159371702,100,0.1417677402496338
10,474.1213956493112,100,0.14008545875549316
11,472.3234943886003,101,0.14722514152526855
12,470.7237571951858,100,0.14521503448486328
13,469.0789962070015,101,0.14676809310913086
14,467.4016017365792,101,0.15000581741333008
15,465.67181862283303,101,0.14995718002319336
16,463.8515261371697,101,0.16638731956481934
17,462.12986038693515,101,0.17409992218017578
18,460.46222280560403,101,0.16174817085266113
19,458.31768792190326,102,0.17164921760559082
20,456.71770754258534,100,0.166001558303833
21,455.11772718459997,100,0.17426013946533203
22,453.45076594745274,101,0.1735210418701172
23,451.85078965373486,100,0.17522192001342773
24,450.2505510639388,100,0.19118142127990723
25,448.65031208129454,100,0.1818985939025879
26,446.91037486719307,101,0.18325209617614746
27,445.31040007669003,100,0.19809412956237793
28,443.71068840181744,100,0.20426392555236816
29,442.1109768859769,100,0.19602227210998535
30,440.5112655293,100,0.19749832153320312
31,438.81227809162596,101,0.20095372200012207
32,437.2125724159527,100,0.20151758193969727
33,435.61286690443137,100,0.21489906311035156
34,434.0131615571992,100,0.20536494255065918
35,432.4134563743939,100,0.1997215747833252
36,430.81375135615303,100,0.2271404266357422
37,429.2140465026144,100,0.2156236171722412
38,427.614341813916,100,0.22560954093933105
39,426.014637290196,100,0.2239081859588623
40,424.4149329315926,100,0.22953557968139648
41,422.8152615637515,100,0.22968316078186035
42,421.2155907477696,100,0.23158669471740723
43,419.6153602609485,100,0.23526954650878906
44,418.0148326956623,100,0.22915124893188477
45,416.4151622574834,100,0.25265002250671387
46,414.815492374434,100,0.2524106502532959
47,413.2160872933345,100,0.25229525566101074
48,411.61612076751203,100,0.24873614311218262
49,410.01559184964697,100,0.25922513008117676
50,408.41618782889185,100,0.26226329803466797
