K,MSE,ITERATIONS,EXECUTION TIME
2,489.34311560757675,102,0.286283016204834
3,487.6544023481249,102,0.3819103240966797
4,486.0546735687244,101,0.477569580078125
5,483.735147274769,103,0.5790276527404785
6,482.1965093622594,105,0.6767675876617432
7,480.5087284649195,105,0.7664241790771484
8,478.9967997098887,100,0.8753275871276855
9,477.4165022378363,105,0.9748415946960449
10,475.5970310343607,101,1.0734162330627441
11,474.490914635707,104,1.194774866104126
12,472.73706283187727,107,1.2969555854797363
13,470.4089849280831,109,1.3670933246612549
14,469.08001105080893,104,1.4840478897094727
15,468.1578138471342,106,1.5959689617156982
16,466.25224932276905,107,1.6655569076538086
17,464.8223495188463,102,1.7435531616210938
18,463.2808324589017,103,1.866002082824707
19,461.6750942826973,104,1.943798303604126
20,460.1806939554584,103,2.0838100910186768
21,457.499160189261,104,2.204240083694458
22,456.38459838073936,102,2.26267409324646
23,454.962718740638,104,2.375248908996582
24,453.4968736273674,105,2.4884631633758545
25,450.4826549954384,105,2.6322011947631836
26,450.36618107808306,102,2.6704633235931396
27,448.28360845903535,102,2.7870819568634033
28,446.633839354951,108,2.865912437438965
29,444.9001911374718,103,3.0481350421905518
30,443.6998590014741,102,3.0440480709075928
31,442.1312937563866,104,3.2005350589752197
32,440.2587560792368,106,3.2135231494903564
33,438.81752935138843,107,3.3419721126556396
34,436.2031164557741,110,3.512331008911133
35,435.50637658963257,105,3.5898020267486572
36,433.3607655795586,102,3.6832776069641113
37,432.1450665929693,104,3.8216941356658936
38,430.69513906185136,103,3.8659281730651855
39,428.8518582337919,104,3.9699480533599854
40,427.04334899493915,105,4.099584341049194
41,425.5603110339953,106,4.1829798221588135
42,424.513156653265,102,4.29270076751709
43,422.6900826175846,106,4.347395896911621
44,421.16032626000043,103,4.441826343536377
45,419.1550671279846,102,4.591468811035156
46,417.45215327083326,108,4.676925182342529
47,416.5079988150728,109,4.7723329067230225
48,414.265036131184,106,4.8843488693237305
49,412.42074225414564,107,4.956685304641724
50,411.57941137183667,104,5.059294700622559
