K,MSE,ITERATIONS,EXECUTION TIME
2,3895.916129032258,137,0.09742522239685059
3,3870.0915360501576,162,0.11058545112609863
4,3852.15667212843,211,0.13836193084716797
5,3831.506763285024,174,0.13770604133605957
6,3811.718141821946,215,0.15919923782348633
7,3795.4756923512077,211,0.1576249599456787
8,3786.403897312609,215,0.20010662078857422
9,3760.8353443247065,204,0.19332170486450195
10,3746.729091406678,199,0.19144654273986816
11,3727.362589884984,191,0.22328615188598633
12,3712.5615223680616,218,0.22684526443481445
13,3699.0877770998577,221,0.2560298442840576
14,3681.611537291444,195,0.2511305809020996
15,3668.531647931583,192,0.2630922794342041
16,3656.2124060128444,184,0.2720060348510742
17,3640.1005800500575,188,0.28525829315185547
18,3618.7296231546234,196,0.29695582389831543
19,3609.9830256950395,184,0.30407214164733887
20,3594.994112417797,192,0.31670641899108887
21,3583.302682285035,157,0.3178887367248535
22,3567.912310400867,205,0.3507347106933594
23,3554.7842065617356,180,0.3583352565765381
24,3540.2531289354247,165,0.36102843284606934
25,3526.6574513206097,158,0.36516571044921875
26,3515.728823350214,163,0.39661622047424316
27,3499.214031814123,158,0.39127421379089355
28,3482.3892429962766,169,0.4087941646575928
29,3472.647426647427,169,0.41658544540405273
30,3457.92557490281,161,0.4413108825683594
31,3443.829845559846,170,0.4604177474975586
32,3428.493137721731,144,0.4485130310058594
33,3417.530170584231,171,0.46729135513305664
34,3398.01194028194,155,0.4748992919921875
35,3393.3150737641563,159,0.4928257465362549
36,3375.404956528066,143,0.4820380210876465
37,3364.375810904072,142,0.501028299331665
38,3349.7218292494995,153,0.5225143432617188
39,3337.3784711320427,136,0.5246336460113525
40,3322.601250601251,145,0.5421993732452393
41,3307.591941441017,135,0.5620458126068115
42,3294.4548916200074,134,0.5481891632080078
43,3286.4199535732714,133,0.5657005310058594
44,3267.0723266499585,132,0.5833423137664795
45,3257.934620934621,124,0.5819344520568848
46,3241.442247752248,128,0.6001894474029541
47,3229.1749036568185,127,0.601536750793457
48,3214.140589684577,135,0.6255025863647461
49,3202.7751602564103,125,0.6468832492828369
50,3185.8600843600843,121,0.628436803817749
