K,MSE,ITERATIONS,EXECUTION TIME
2,489.20000000000005,103,0.12314605712890625
3,487.6007843137255,104,0.12476205825805664
4,485.67854851031325,101,0.13835692405700684
5,484.19916922560924,104,0.17081904411315918
6,482.0888757279637,102,0.15959835052490234
7,480.56003861178215,104,0.17778325080871582
8,479.1019506935546,104,0.18882298469543457
9,477.9294416518637,103,0.20245790481567383
10,475.3708009856781,106,0.23182010650634766
11,474.3210044577287,104,0.23348641395568848
12,472.05205342493196,113,0.24744796752929688
13,470.73911598981624,108,0.25771427154541016
14,468.97501994634763,106,0.2869138717651367
15,466.5877205985747,106,0.280120849609375
16,465.54986915867926,105,0.2977457046508789
17,464.0100155133615,106,0.29979395866394043
18,462.37287457197226,106,0.3216712474822998
19,460.8028979348835,108,0.33695125579833984
20,458.9612955650668,105,0.33970046043395996
21,457.67632546612845,117,0.37255072593688965
22,455.97048565948444,106,0.3612654209136963
23,454.2882571311341,106,0.37938380241394043
24,450.68762397569714,106,0.4042050838470459
25,450.1662681776845,119,0.4135727882385254
26,449.38853816059964,111,0.4394052028656006
27,448.03822219599795,119,0.4386734962463379
28,446.0490994537023,113,0.4493825435638428
29,444.67359225122954,117,0.4684634208679199
30,443.0822694323222,110,0.47478199005126953
31,440.2640380582422,117,0.5035159587860107
32,439.26790205841587,112,0.4958624839782715
33,438.21801353095793,118,0.5221738815307617
34,435.9938218611551,113,0.5258123874664307
35,434.7885658654428,110,0.5397560596466064
36,433.3673475381554,116,0.5344352722167969
37,430.27990097920735,123,0.5692973136901855
38,429.5602578629392,115,0.5867764949798584
39,428.18376679492246,111,0.5975823402404785
40,426.48025468006045,112,0.6117885112762451
41,424.4942710014656,116,0.6402850151062012
42,422.90536788281116,114,0.6295239925384521
43,421.50525491680645,110,0.6287555694580078
44,420.36741726549855,114,0.6492860317230225
45,418.2561762825035,112,0.6638245582580566
46,417.08897791166527,115,0.6744027137756348
47,414.0111699723394,110,0.6826248168945312
48,413.3331273625795,116,0.7173309326171875
49,411.6844014028102,115,0.7153217792510986
50,410.71190175319725,123,0.7273035049438477
