K,MSE,ITERATIONS,EXECUTION TIME
2,26285.161553784863,1005,14.227599859237671
3,26258.53000997009,1004,14.199531555175781
4,26231.898403193612,1003,14.14561653137207
5,26205.266733266737,1002,14.000038385391235
6,26178.635000000002,1001,13.772502660751343
7,26152.003203203203,1000,14.129399061203003
8,26125.371342685372,999,13.713403701782227
9,26098.739418254765,998,13.792635917663574
10,26072.107429718875,997,13.75903582572937
11,26045.475376884424,996,13.649964332580566
12,26018.843259557347,995,13.666666269302368
13,25992.21107754281,994,13.633338928222656
14,25965.578830645165,993,13.718891620635986
15,25938.946518668017,992,13.633363246917725
16,25912.314141414143,991,13.598305463790894
17,25885.68169868554,990,13.616004705429077
18,25859.049190283404,989,13.833536863327026
19,25832.416616008108,988,13.666755199432373
20,25805.783975659233,987,13.566612958908081
21,25779.153299492384,986,13.683170557022095
22,25752.52256097561,985,13.791338682174683
23,25725.891759918617,984,13.676952123641968
24,25699.26089613035,983,13.631847381591797
25,25672.629969418962,982,13.733248233795166
26,25645.998979591837,981,13.866857290267944
27,25619.36792645557,980,13.967874526977539
28,25592.73680981595,979,13.649868965148926
29,25566.105629477992,978,13.718666791915894
30,25539.4743852459,977,13.781582355499268
31,25512.843076923076,976,13.618880987167358
32,25486.211704312118,975,13.647598266601562
33,25459.5802672148,974,13.716753244400024
34,25432.9487654321,973,13.716492176055908
35,25406.31719876416,972,13.699533700942993
36,25379.685567010314,971,13.633570671081543
37,25353.053869969044,970,13.750146389007568
38,25326.42417355372,969,13.63509750366211
39,25299.79441571872,968,13.630203008651733
40,25273.16459627329,967,14.0180082321167
41,25246.53471502591,966,13.733291625976562
42,25219.904771784233,965,13.699434041976929
43,25193.27476635514,964,13.633907556533813
44,25166.6446985447,963,13.78342080116272
45,25140.01456815817,962,13.598933935165405
46,25113.384375,961,13.751047372817993
47,25086.756204379562,960,13.550069093704224
48,25060.127974947805,959,13.702214002609253
49,25033.499686520376,958,13.581146240234375
50,25006.871338912137,957,13.63578748703003
