K,MSE,ITERATIONS,EXECUTION TIME
2,856.7788685714897,1113,27.164427995681763
3,854.9788685714898,1112,27.254862546920776
4,853.1788685714898,1111,26.692010641098022
5,851.3788685714899,1110,25.866668939590454
6,849.5788685714899,1109,25.801456451416016
7,847.7788685714899,1108,25.848503589630127
8,845.9788685714898,1107,25.933597087860107
9,844.1788685714898,1106,25.966406106948853
10,842.3788685714899,1105,25.701741695404053
11,840.5788685714899,1104,25.664865493774414
12,838.7788685714899,1103,25.668671131134033
13,836.9788685714898,1102,25.681286334991455
14,835.1788685714898,1101,25.73331093788147
15,833.3788685714899,1100,25.651622533798218
16,831.5788685714899,1099,25.531667709350586
17,829.7788685714899,1098,25.583381414413452
18,827.9788685714898,1097,25.650055646896362
19,826.1788685714898,1096,25.566746950149536
20,824.3788685714899,1095,25.549909830093384
21,823.0788991067733,1094,25.566606044769287
22,821.7789296457868,1093,25.517694234848022
23,820.4789601885306,1091,25.48326802253723
24,819.1789907350055,1089,25.433428287506104
25,817.8790212852127,1088,25.616682529449463
26,816.5790518391523,1087,25.4509699344635
27,815.2790823968251,1086,25.49895691871643
28,813.9791129582319,1085,25.416775226593018
29,812.6791435233731,1084,25.599950790405273
30,811.37917409225,1083,25.466735124588013
31,810.0792046648626,1081,25.399956226348877
32,808.7792352412121,1080,25.34993290901184
33,807.4792658212989,1079,25.41683530807495
34,806.1792964051238,1078,25.367648363113403
35,804.8793269926872,1076,25.332310676574707
36,803.5793575839901,1075,25.43334698677063
37,802.2793881790333,1074,25.956833839416504
38,800.9796024491158,1072,25.766144514083862
39,799.779694310067,1071,25.650280714035034
40,798.5797861991166,1070,25.691887617111206
41,797.4465141307842,1068,25.649829864501953
42,796.3132420736976,1067,25.416677236557007
43,795.1799700278599,1066,25.21736717224121
44,794.0466979932742,1065,25.14934754371643
45,792.9134259699434,1064,25.083343267440796
46,791.7801539578709,1063,25.099962949752808
47,790.6468819570596,1062,25.0334370136261
48,789.5136099675126,1061,25.0341637134552
49,788.3803379892331,1060,25.032456874847412
50,787.3176097792739,1059,25.083386421203613
