K,MSE,ITERATIONS,EXECUTION TIME
2,26285.161553784863,100,1.3433382511138916
3,26258.53000997009,100,1.4223299026489258
4,26231.898403193612,100,1.416353464126587
5,26205.266733266737,100,1.3844709396362305
6,26178.637000000002,100,1.314493179321289
7,26152.005205205205,100,1.3004217147827148
8,26125.377354709424,100,1.317622184753418
9,26098.745436308927,100,1.361382007598877
10,26072.113453815262,100,1.382347583770752
11,26045.48140703518,100,1.4353125095367432
12,26018.84929577465,100,1.3832359313964844
13,25992.219133937557,100,1.3196735382080078
14,25965.586895161294,100,1.3297240734100342
15,25938.95862764884,100,1.3528425693511963
16,25912.328282828283,100,1.3835294246673584
17,25885.695854398382,100,1.4432387351989746
18,25859.063360323886,100,1.4221670627593994
19,25832.432826747725,100,1.3665392398834229
20,25805.80223123732,100,1.3433327674865723
21,25779.16954314721,100,1.3545081615447998
22,25752.536788617886,100,1.351398229598999
23,25725.90600203459,100,1.4527742862701416
24,25699.275152749495,100,1.4502575397491455
25,25672.642201834868,100,1.395817756652832
26,25646.011224489797,100,1.3875105381011963
27,25619.380183861085,100,1.366603136062622
28,25592.747034764827,100,1.365809440612793
29,25566.11586489253,100,1.436035394668579
30,25539.482581967215,100,1.4064748287200928
31,25512.849230769236,100,1.443591594696045
32,25486.215811088296,100,1.4197773933410645
33,25459.58437821172,100,1.391580581665039
34,25432.95288065844,100,1.3691034317016602
35,25406.321318228634,100,1.3531112670898438
36,25379.68969072165,100,1.4499874114990234
37,25353.057997936015,100,1.4144086837768555
38,25326.428305785128,100,1.4512710571289062
39,25299.796483971044,100,1.3986320495605469
40,25273.16873706004,100,1.366783618927002
41,25246.538860103632,100,1.3655145168304443
42,25219.908921161827,100,1.3866260051727295
43,25193.278920041543,100,1.481255054473877
44,25166.653014553016,100,1.4669644832611084
45,25140.02913631634,100,1.4446861743927002
46,25113.403125,100,1.3737988471984863
47,25086.77080291971,100,1.3842780590057373
48,25060.140501043843,100,1.3765292167663574
49,25033.51222570533,100,1.4737026691436768
50,25006.883891213394,100,1.4256508350372314
