K,MSE,ITERATIONS,EXECUTION TIME
2,26285.163545816737,100,1.4838218688964844
3,26258.532003988035,100,1.44803786277771
4,26231.900399201597,100,1.3667869567871094
5,26205.268731268734,100,1.3664569854736328
6,26178.643,100,1.3834011554718018
7,26152.01121121121,100,1.4834671020507812
8,26125.379358717433,100,1.4358272552490234
9,26098.74744232698,100,1.4663472175598145
10,26072.115461847392,100,1.3827629089355469
11,26045.48341708543,100,1.3817939758300781
12,26018.851307847086,100,1.366314172744751
13,25992.221148036253,100,1.4170935153961182
14,25965.58891129032,100,1.485048770904541
15,25938.95862764884,100,1.4814682006835938
16,25912.328282828283,100,1.433394432067871
17,25885.697876643073,100,1.385483980178833
18,25859.065384615384,100,1.3809936046600342
19,25832.43282674772,100,1.3996448516845703
20,25805.80020283976,100,1.4660615921020508
21,25779.167512690354,100,1.4667377471923828
22,25752.534756097564,100,1.4500277042388916
23,25725.903967446593,100,1.4165329933166504
24,25699.271079429735,100,1.4001514911651611
25,25672.640163098877,100,1.3886873722076416
26,25646.009183673472,100,1.4946954250335693
27,25619.378140960165,100,1.4499289989471436
28,25592.7490797546,100,1.5167012214660645
29,25566.117911975438,100,1.4333064556121826
30,25539.48463114754,100,1.4001328945159912
31,25512.855384615385,100,1.402003288269043
32,25486.23018480493,100,1.4310169219970703
33,25459.602877697846,100,1.5499622821807861
34,25432.971399176957,100,1.5177185535430908
35,25406.339855818747,100,1.466923713684082
36,25379.71030927835,100,1.4301402568817139
37,25353.088957688342,100,1.4194283485412598
38,25326.457231404962,100,1.4134516716003418
39,25299.82543950362,100,1.5156307220458984
40,25273.197722567293,100,1.4509451389312744
41,25246.56580310881,100,1.5157227516174316
42,25219.93796680498,100,1.4540605545043945
43,25193.303842159916,100,1.4146549701690674
44,25166.675883575885,100,1.4613745212554932
45,25140.047866805413,100,1.4908030033111572
46,25113.417708333334,100,1.4834086894989014
47,25086.789572471323,100,1.5156223773956299
48,25060.16346555324,100,1.4509053230285645
49,25033.539393939394,100,1.4304039478302002
50,25006.91108786611,100,1.4467780590057373
