K,MSE,ITERATIONS,EXECUTION TIME
2,856.7788685714897,100,2.5576441287994385
3,854.9788685714898,100,2.5673835277557373
4,853.1788685714898,100,2.5335330963134766
5,851.3788685714899,101,2.5673553943634033
6,849.5788685714899,100,2.5492141246795654
7,847.7788685714899,100,2.5579710006713867
8,845.9788685714898,101,2.5824174880981445
9,844.1788685714898,100,2.5783863067626953
10,842.3788685714899,101,2.614121437072754
11,840.5788685714899,101,2.6253795623779297
12,838.7788685714899,100,2.609884262084961
13,836.9788685714898,101,2.614588975906372
14,835.1788685714898,102,2.6111485958099365
15,833.3788685714899,100,2.595614194869995
16,831.5788685714899,100,2.6072018146514893
17,829.7788685714899,100,2.6094226837158203
18,827.9788685714898,100,2.614561080932617
19,826.1788685714898,101,2.6262168884277344
20,824.3788685714899,101,2.623542547225952
21,823.0788991067733,100,2.5913586616516113
22,821.7789296457868,101,2.57616925239563
23,820.4789601885306,101,2.568514585494995
24,819.1789907350055,100,2.5662243366241455
25,817.8790212852127,100,2.5912904739379883
26,816.5790518391523,100,2.560302257537842
27,815.2790823968251,100,2.572721481323242
28,813.9791129582318,100,2.558945655822754
29,812.6791435233731,100,2.5579891204833984
30,811.37917409225,100,2.5776917934417725
31,810.0792046648626,100,2.5643303394317627
32,808.7792352412121,100,2.590592861175537
33,807.4792658212989,101,2.5690786838531494
34,806.1792964051238,101,2.59025502204895
35,804.8793269926873,100,2.583378553390503
36,803.5793575839901,100,2.5980091094970703
37,802.3794493625885,101,2.593952178955078
38,801.0794799679193,100,2.5663843154907227
39,799.9462078359124,100,2.591688871383667
40,798.8129357151331,102,2.591553211212158
41,797.6796636055846,100,2.583555221557617
42,796.5463915072696,100,2.6003291606903076
43,795.4131194201916,100,2.6166505813598633
44,794.2798473443534,100,2.5912671089172363
45,793.1465752797583,101,2.5967442989349365
46,792.0133032264091,100,2.576374053955078
47,790.8800311843092,100,2.588700532913208
48,789.8301231230641,100,2.5780324935913086
49,788.8081154971619,102,2.633204936981201
50,787.8082381697593,100,2.599256753921509
