K,MSE,ITERATIONS,EXECUTION TIME
2,26255.151293601295,165,4.096871852874756
3,26213.35224614842,182,5.184537649154663
4,26180.89027698047,211,6.199897766113281
5,26142.818704088706,291,7.550135374069214
6,26110.00936411617,267,8.299890995025635
7,26074.115486621096,249,9.786229610443115
8,26037.616276913282,280,10.974081993103027
9,26014.472620712768,281,11.96040678024292
10,25970.288789605096,268,12.638786315917969
11,25950.003728230142,271,13.91206955909729
12,25914.121222557227,277,14.780036211013794
13,25885.052603693573,273,15.866541862487793
14,25852.599383327208,265,16.881327152252197
15,25810.222103105752,256,17.7326397895813
16,25797.520096307308,269,18.842657804489136
17,25764.64942515638,261,19.834566354751587
18,25729.81450199066,269,20.859859228134155
19,25709.888595979945,263,22.083494901657104
20,25669.6539964271,252,22.742066860198975
21,25630.743507058593,249,24.044655561447144
22,25599.04737275759,250,25.134783029556274
23,25579.497905916898,255,26.08353066444397
24,25552.131170599918,225,26.956921339035034
25,25527.855687254665,237,28.591875553131104
26,25495.069132587534,250,29.082764148712158
27,25467.598470418467,261,30.21723175048828
28,25439.750578293344,252,31.498958587646484
29,25405.020499698323,246,32.1793737411499
30,25380.86443745173,258,33.56885623931885
31,25353.3717167197,266,35.07148289680481
32,25306.447781386672,248,35.62262988090515
33,25280.162379164085,256,37.067160844802856
34,25271.526856029872,271,38.566465854644775
35,25245.454807097452,251,39.86777067184448
36,25208.756204236044,247,41.06502413749695
37,25183.517555009486,268,42.28742527961731
38,25152.240493570745,259,43.19779658317566
39,25129.092560641315,254,44.2403781414032
40,25107.919428132645,264,45.53855586051941
41,25053.107039929273,247,45.2295880317688
42,25041.922890484148,259,45.68637132644653
43,25015.332027156615,265,48.44822692871094
44,24990.674850021125,259,49.9599814414978
45,24958.587700475913,250,50.89249539375305
46,24927.23540465536,258,52.00754952430725
47,24903.99323929019,245,53.33134722709656
48,24864.527931806966,239,53.88335704803467
49,24827.891935837913,257,55.02699112892151
50,24813.179862985955,248,55.89167499542236
