K,MSE,ITERATIONS,EXECUTION TIME
2,14.251276174339928,2837,5.48334527015686
3,6.605739917626205,4929,5.982654809951782
4,2.8291873434500783,5568,6.147284746170044
5,1.6414838172451898,7757,6.027077674865723
6,1.1037139040995787,9267,5.940974950790405
7,0.8177247098105307,7428,4.683929443359375
8,0.6184360378372457,8842,5.606584548950195
9,0.505903752608357,6853,4.572405576705933
10,0.4375339937302487,6070,4.177272081375122
11,0.3743480311015772,6306,4.3892822265625
12,0.3137555581755216,7649,5.358863115310669
13,0.26438277194686377,6615,4.763228893280029
14,0.22548103738007486,6388,4.720077753067017
15,0.19826515712575088,8294,6.110889196395874
16,0.1763623898209966,5215,4.150329113006592
17,0.15535837277265319,5335,4.325348377227783
18,0.13704189525313404,5322,4.432692289352417
19,0.12067024218069033,5320,4.525137424468994
20,0.10690279085718746,7011,5.906168222427368
21,0.09503796265599906,6578,5.674984693527222
22,0.08510902703487622,4811,4.400309324264526
23,0.07877171180985998,4798,4.474426031112671
24,0.07282930156915235,5166,4.892337322235107
25,0.06715913761371706,5045,4.848052501678467
26,0.061684418063844504,4236,4.169426441192627
27,0.056323946181170426,4412,4.417076587677002
28,0.05181192953237357,4430,4.4987006187438965
29,0.048662457853657415,4356,4.491544723510742
30,0.045788758244166505,3965,4.184150218963623
31,0.04299956200794508,4129,4.433680772781372
32,0.04024192882948352,3907,4.258039712905884
33,0.037520412908617295,3904,4.292255401611328
34,0.03489487599276209,3915,4.370208978652954
35,0.03257454971686069,3809,4.318291425704956
36,0.03045974667442941,3183,3.761286973953247
37,0.028474041983248544,3181,3.8241734504699707
38,0.02658580113716269,3194,3.9007461071014404
39,0.02495315654842123,3192,3.974992513656616
40,0.02335668737022356,3185,4.00759744644165
41,0.022045606099016957,3188,4.092401742935181
42,0.02082555731871505,3186,4.14003849029541
43,0.019617225330429644,3121,4.143361330032349
44,0.018530127672243935,3082,4.075268983840942
45,0.01752556145756512,2984,4.041381120681763
46,0.01653268324035384,3035,4.1487510204315186
47,0.015674508480317484,2856,4.001193284988403
48,0.014927263737528507,2740,3.9333643913269043
49,0.014191068558826125,2660,3.8347175121307373
50,0.013495253182840061,2669,3.8985629081726074
