K,MSE,ITERATIONS,EXECUTION TIME
2,14.251276174339928,462,0.8962521553039551
3,6.605739917626205,861,1.2015056610107422
4,2.8291873434500783,1152,1.2153148651123047
5,1.6414838172451898,1413,1.098862648010254
6,1.104297700711052,1778,1.1010563373565674
7,0.8177247098105307,1349,0.8499493598937988
8,0.6184360378372457,1496,0.9666173458099365
9,0.505903752608357,1125,0.7516050338745117
10,0.4375339937302487,826,0.5809707641601562
11,0.374482393017151,887,0.6336259841918945
12,0.3138899200910954,930,0.6678817272186279
13,0.2645171338624376,1022,0.7494666576385498
14,0.22548103738007486,1006,0.7514626979827881
15,0.19826515712575088,1105,0.8310472965240479
16,0.1763623898209966,716,0.5833616256713867
17,0.15535837277265319,765,0.6484103202819824
18,0.13704189525313404,718,0.6032524108886719
19,0.12067024218069033,788,0.6817424297332764
20,0.10690279085718746,800,0.6962316036224365
21,0.09503796265599906,806,0.7027616500854492
22,0.08510902703487622,580,0.5500359535217285
23,0.07877171180985998,598,0.582329273223877
24,0.07282930156915235,659,0.6344096660614014
25,0.06715913761371706,716,0.6834113597869873
26,0.061684418063844504,540,0.5499019622802734
27,0.056458630132641074,553,0.5841569900512695
28,0.05194661348384422,565,0.5823831558227539
29,0.048797141805128064,556,0.5999817848205566
30,0.045923442195637154,511,0.5677754878997803
31,0.04313424595941573,516,0.5829963684082031
32,0.04037661278095417,514,0.5842342376708984
33,0.037655096860087944,546,0.6154201030731201
34,0.035029559944232735,522,0.6162147521972656
35,0.03270923366833134,568,0.6663930416107178
36,0.03059443062590006,439,0.5351357460021973
37,0.028571505828343557,477,0.5974709987640381
38,0.02658580113716269,444,0.5674543380737305
39,0.02495315654842123,434,0.5685269832611084
40,0.02335668737022356,443,0.5812699794769287
41,0.022045606099016957,428,0.5666978359222412
42,0.020827208004916553,455,0.6167194843292236
43,0.019618876016631148,426,0.5834200382232666
44,0.01853177835844544,432,0.5999701023101807
45,0.017527212143766624,431,0.6000423431396484
46,0.016534333926555345,396,0.5725159645080566
47,0.015676159166518988,341,0.5107195377349854
48,0.014928914423730011,336,0.519171953201294
49,0.01419271924502763,361,0.5474874973297119
50,0.013496903869041565,376,0.5766451358795166
