K,MSE,ITERATIONS,EXECUTION TIME
2,14.251276174339928,445,0.9265697002410889
3,6.605739917626205,849,1.1589221954345703
4,2.8291873434500783,1047,1.2078967094421387
5,1.6414838172451898,1350,1.1166152954101562
6,1.1037139040995787,1928,1.2386541366577148
7,0.8177247098105307,1301,0.850377082824707
8,0.6184360378372457,1423,0.9346468448638916
9,0.505903752608357,997,0.7175486087799072
10,0.4375339937302487,760,0.58329176902771
11,0.3743480311015772,864,0.6497843265533447
12,0.3137555581755216,931,0.7091028690338135
13,0.26438277194686377,1009,0.7914266586303711
14,0.22548103738007486,1040,0.8084819316864014
15,0.19826515712575088,1114,0.8918371200561523
16,0.1763623898209966,759,0.6751968860626221
17,0.15535837277265319,795,0.6959333419799805
18,0.13704189525313404,783,0.6950571537017822
19,0.12067024218069033,802,0.7462246417999268
20,0.10690279085718746,798,0.7548356056213379
21,0.09503796265599906,828,0.7734746932983398
22,0.08510902703487622,669,0.6535496711730957
23,0.07877171180985998,623,0.6385607719421387
24,0.07282930156915235,666,0.6919736862182617
25,0.06715913761371706,674,0.7017478942871094
26,0.061684418063844504,583,0.6333544254302979
27,0.056458630132641074,591,0.6509191989898682
28,0.05194661348384422,574,0.6530964374542236
29,0.048797141805128064,567,0.643195390701294
30,0.045923442195637154,522,0.6166753768920898
31,0.04313424595941573,567,0.6666731834411621
32,0.04037661278095417,545,0.6583046913146973
33,0.037655096860087944,553,0.685736894607544
34,0.035029559944232735,519,0.6472735404968262
35,0.03270923366833134,515,0.6585903167724609
36,0.03059443062590006,435,0.5938816070556641
37,0.028571505828343557,450,0.6311643123626709
38,0.02658580113716269,423,0.603365421295166
39,0.02495315654842123,419,0.593407154083252
40,0.02335668737022356,420,0.6039547920227051
41,0.022045606099016957,440,0.623384952545166
42,0.020827208004916553,432,0.641237735748291
43,0.019618876016631148,425,0.6592381000518799
44,0.01853177835844544,418,0.6164364814758301
45,0.017527212143766624,405,0.7332355976104736
46,0.016534333926555345,414,0.6843674182891846
47,0.015676159166518988,367,0.6114354133605957
48,0.014928914423730011,372,0.6111645698547363
49,0.01419271924502763,343,0.5765836238861084
50,0.013496903869041565,365,0.6141448020935059
