K,MSE,ITERATIONS,EXECUTION TIME
2,14.251276174339928,333,1.4329006671905518
3,6.605739917626205,664,2.0052578449249268
4,2.8291873434500783,984,2.2862765789031982
5,1.6414838172451898,1210,2.588775634765625
6,1.1037139040995787,1704,2.8731658458709717
7,0.8177247098105307,1653,2.9365947246551514
8,0.6184360378372457,1564,3.340195417404175
9,0.5056227525030822,1537,3.449774742126465
10,0.437506495210241,1411,3.555128812789917
11,0.3751058243834432,1245,3.932401418685913
12,0.31484132992181213,1460,4.645824909210205
13,0.2682758398780032,1530,5.278362274169922
14,0.22434735343556933,1507,5.317195653915405
15,0.19839355893872423,1692,5.604521751403809
16,0.1782913775431435,1508,5.849545955657959
17,0.15604384390014947,1654,6.977534532546997
18,0.13820437833703703,1677,7.217247247695923
19,0.12070033573578387,1459,6.944465637207031
20,0.1074183307016231,1524,7.466308832168579
21,0.09758454354066681,1402,7.698852062225342
22,0.08952773924289048,1454,7.808666229248047
23,0.07988316172374177,1320,7.57635235786438
24,0.0735687366196236,1312,7.695072889328003
25,0.06780083722541164,1429,7.949487686157227
26,0.0636188710945843,1253,8.246739387512207
27,0.058378328536566104,1363,8.556980609893799
28,0.05510366473998596,1273,8.686773300170898
29,0.04984482186258832,1209,8.907623767852783
30,0.0472568451194505,1231,9.245789289474487
31,0.045253732727996154,1231,9.53805422782898
32,0.04194425345535635,1117,9.842848777770996
33,0.03813084696332736,1137,10.054169654846191
34,0.03728098522215506,1148,10.514076232910156
35,0.034453778017236036,1171,10.726657390594482
36,0.03264330111384062,1122,11.093325138092041
37,0.029726283121338404,1084,11.424237728118896
38,0.028155993197807483,1135,12.145955801010132
39,0.026355072160684445,1156,12.773564338684082
40,0.02439947243626006,1092,13.259535789489746
41,0.023262287458447273,1068,13.372070074081421
42,0.0228727262210493,1079,12.816842555999756
43,0.021624890379240758,1002,13.395426034927368
44,0.019461855216043267,1008,13.388849973678589
45,0.018818965929964238,950,13.784327507019043
46,0.017726354954741064,995,14.66126561164856
47,0.017623245034697033,1027,14.823331832885742
48,0.01591801474876753,996,15.482309579849243
49,0.01576146852186333,939,15.639739751815796
50,0.014804843155293068,1034,16.107853651046753
