K,MSE,ITERATIONS,EXECUTION TIME
2,14.251276174339928,394,0.7944607734680176
3,6.605739917626205,927,1.131455421447754
4,2.8291873434500783,2074,1.9913392066955566
5,1.6414838172451898,2177,1.850806713104248
6,1.1037139040995787,2223,1.5838146209716797
7,0.8177247098105307,2260,1.6046137809753418
8,0.6184360378372457,2849,1.947087287902832
9,0.5058762540883492,2368,1.7141454219818115
10,0.4378991621357837,2455,1.8013269901275635
11,0.3832387576370204,3865,2.7586982250213623
12,0.32253824507180795,3516,2.6410396099090576
13,0.2732938606561235,3402,2.646505117416382
14,0.24290383503750956,3041,2.490445137023926
15,0.20530090940854662,3070,2.5402562618255615
16,0.18370570837639777,3074,2.59063458442688
17,0.16141278870244147,2986,2.5576863288879395
18,0.15298185911478035,3078,2.699171304702759
19,0.1321231330979693,2779,2.574348211288452
20,0.12972122664620755,2851,2.6558356285095215
21,0.1130617063935232,2743,2.630795955657959
22,0.11097757077036396,2608,2.5392274856567383
23,0.09911247309494509,2542,2.650993585586548
24,0.09003738873934286,2472,2.6946260929107666
25,0.09212628275647894,2337,2.6173670291900635
26,0.06976621017646645,2181,2.5979084968566895
27,0.06982132303340893,2252,2.7378833293914795
28,0.057675458126696943,2149,2.6021015644073486
29,0.05772962382092717,1998,2.4082369804382324
30,0.05001626072370602,1993,2.4968791007995605
31,0.057579256418117786,1895,2.4196064472198486
32,0.05086875476232544,1836,2.392528533935547
33,0.048394372586725076,1974,2.5701937675476074
34,0.04674333951961096,1700,2.337432384490967
35,0.04071642368627537,1764,2.5429203510284424
36,0.03606491089365926,1749,2.4950973987579346
37,0.035732858496842046,1730,2.5974278450012207
38,0.03803703720553753,1714,2.5454630851745605
39,0.03511950541992337,1684,2.5844995975494385
40,0.03117467576735289,1650,2.6785073280334473
41,0.03586218242543526,1743,2.726548194885254
42,0.03054484758728704,1590,2.585045576095581
43,0.02737172044749603,1618,2.7264509201049805
44,0.031378891278755594,1600,2.672653913497925
45,0.030602944923740272,1574,2.7090723514556885
46,0.027676360375769926,1604,2.8677515983581543
47,0.026106533090830886,1555,2.7946724891662598
48,0.02488422890697617,1496,2.7503468990325928
49,0.022479594376933365,1559,2.8466579914093018
50,0.02287237515987295,1551,2.9230082035064697
