K,MSE,ITERATIONS,EXECUTION TIME
1,202.9830968700125,,
2,133.63175202094234,1172,2.0636558532714844
3,104.5887580641286,1274,1.6948583126068115
4,84.53411218640481,1641,1.3907897472381592
5,69.76355718978574,1792,1.5191395282745361
6,62.01920701781175,2067,1.406465768814087
7,57.55901032924136,1240,0.8436734676361084
8,53.84014479052216,1214,0.8586380481719971
9,49.96374784949474,1262,0.8916037082672119
10,47.16549157236908,1069,0.8421354293823242
11,45.10730466854153,946,0.7411549091339111
12,43.23425083343612,802,0.669177770614624
13,41.5246310822629,852,0.7601540088653564
14,40.011684181572996,757,0.6744379997253418
15,38.71024000360706,684,0.6361408233642578
16,37.538168592951436,690,0.6588749885559082
17,36.40415394998929,692,0.6482758522033691
18,35.38198125510683,662,0.6455554962158203
19,34.399747095859055,610,0.6224892139434814
20,33.39719783031676,574,0.5900404453277588
21,32.47413703421612,529,0.5655980110168457
22,31.68054548840754,523,0.5612108707427979
23,30.889170145226554,571,0.6393184661865234
24,30.154771445339726,512,0.5870027542114258
25,29.47965745618312,484,0.5919086933135986
26,28.85491026408453,477,0.5600872039794922
27,28.225933798031487,470,0.5752294063568115
28,27.61452032375913,519,0.6364343166351318
29,27.06533976175219,444,0.5656216144561768
30,26.530241573135438,444,0.5658543109893799
31,26.01135454035237,405,0.5557687282562256
32,25.560071716260097,422,0.5471460819244385
33,25.10683047723525,401,0.6073925495147705
34,24.69654002040513,392,0.6291680335998535
35,24.29321445033934,383,0.65004563331604
36,23.919662233811067,410,0.6961138248443604
37,23.548601969771283,356,0.6239473819732666
38,23.16493678479999,362,0.6259751319885254
39,22.799563619333053,343,0.5630474090576172
40,22.46279087547554,345,0.5834188461303711
41,22.10620670329441,309,0.5768623352050781
42,21.775908638249312,336,0.6120560169219971
43,21.456403878632997,357,0.6217620372772217
44,21.15336610683667,325,0.648308515548706
45,20.855518096595127,310,0.6041169166564941
46,20.56577684410833,324,0.6566033363342285
47,20.27640384521282,291,0.5858156681060791
48,19.99309208577646,314,0.706186056137085
49,19.719201720995258,285,0.649660587310791
50,19.461368261658148,290,0.6173148155212402
