K,MSE,ITERATIONS,EXECUTION TIME
2,73.08651491055056,298,1.2342820167541504
3,56.35664685892329,1190,2.3699748516082764
4,44.61832102557238,1447,2.5252866744995117
5,36.40932029280746,1439,2.5298333168029785
6,32.2264089832658,1708,2.8252737522125244
7,29.81018953160077,1532,2.8863985538482666
8,27.63980750079761,1675,3.2601404190063477
9,25.758753138614843,1517,3.4301908016204834
10,24.283700254249528,1669,3.825165033340454
11,23.181152693373573,1759,4.154710531234741
12,22.199309230272938,1779,4.454653978347778
13,21.400305557495336,1664,4.6670849323272705
14,20.572821186446582,1506,4.808525800704956
15,19.962212108563925,1618,5.369873285293579
16,19.3052622378163,1421,5.489813566207886
17,18.900627039073683,1332,5.684755086898804
18,18.293396924239666,1424,6.062345266342163
19,17.813825665087087,1296,6.259732484817505
20,17.266347021937218,1404,6.6981096267700195
21,16.830545139646325,1252,6.804006338119507
22,16.420712913921047,1277,7.146044015884399
23,16.193094198416414,1265,7.5396881103515625
24,15.663371228008032,1239,7.753227233886719
25,15.3805449888747,1198,7.916673183441162
26,14.953301054516553,1170,8.123824834823608
27,14.753673312543643,1210,8.431610822677612
28,14.377839573120152,1167,8.768162965774536
29,14.104329898527883,1193,9.623697280883789
30,13.889196910776363,1152,9.558817148208618
31,13.652838540981199,1070,9.741455793380737
32,13.346047381893904,1086,9.926206827163696
33,13.156678178271408,1162,10.369580268859863
34,12.839418110412904,1078,10.603008508682251
35,12.787319401349816,1118,18.334290742874146
36,12.539083208778136,1059,17.37735390663147
37,12.382798035576254,1103,25.253816843032837
38,12.152912934213617,1008,25.958393335342407
39,11.832397278635723,956,27.03473448753357
40,11.749139940678294,1020,27.42764925956726
41,11.603852310778503,979,28.065824508666992
42,11.554481842545098,997,29.246336698532104
43,11.199244019080307,989,29.218590021133423
44,11.167619700045858,929,30.726327419281006
45,10.986827062130065,982,31.173624753952026
46,10.865492863081013,891,29.92264437675476
47,10.791275228704166,931,31.777496814727783
48,10.64478191837932,922,32.63901209831238
49,10.579681971108709,923,33.51111650466919
50,10.462732440250218,904,33.71172380447388
