K,MSE,ITERATIONS,EXECUTION TIME
2,73.08651491055056,451,0.8304743766784668
3,56.35664685892329,1344,1.7601020336151123
4,44.61832102557238,1545,1.4625871181488037
5,36.409424065928114,1767,1.3008391857147217
6,32.2264089832658,1741,1.1909878253936768
7,29.806338100803778,1842,1.296013355255127
8,27.649250179133205,1712,1.2930471897125244
9,25.78893962518806,1868,1.3916394710540771
10,24.362573255731245,1865,1.3675580024719238
11,23.219663532872858,1960,1.520256519317627
12,22.345014296680365,1865,1.50730299949646
13,21.337076040314287,1730,1.4460258483886719
14,20.788369678957793,1745,1.5205886363983154
15,19.936350541636138,1670,1.5052621364593506
16,19.441440254629224,1562,1.4717202186584473
17,18.894665366910786,1638,1.5755889415740967
18,18.326528342545398,1510,1.5214693546295166
19,17.930779454565577,1565,1.5928070545196533
20,17.36633777981966,1540,1.5873911380767822
21,17.019391121699687,1547,1.670147180557251
22,16.595597283955122,1491,1.6990303993225098
23,16.093222729021434,1389,1.6307404041290283
24,15.749664999537268,1368,1.6945226192474365
25,15.621698618497879,1307,1.6759085655212402
26,15.157552549634069,1379,1.7205641269683838
27,14.872621889734912,1348,1.7716994285583496
28,14.494504354817089,1380,1.8234272003173828
29,14.217460595673058,1267,1.753695011138916
30,14.143506829404878,1252,1.7795920372009277
31,13.770493649772074,1285,1.8485512733459473
32,13.550117675983023,1255,1.9089152812957764
33,13.252861382152352,1173,1.82366943359375
34,13.166575046704978,1172,1.8774755001068115
35,12.888382723360813,1256,2.072998285293579
36,12.58256620448159,1231,2.001701831817627
37,12.533559727280384,1141,1.947923183441162
38,12.214519053278131,1199,2.007427215576172
39,12.214905905861503,1233,2.103661298751831
40,11.89245460213158,1154,2.024045705795288
41,11.694000851646837,1175,2.1174871921539307
42,11.714257074759187,1179,2.1549980640411377
43,11.55783048416043,1132,2.1500606536865234
44,11.20027506762133,1114,2.159083604812622
45,11.141270165376547,1130,2.2458417415618896
46,11.01179721174665,1126,2.2664129734039307
47,11.014652697387486,1072,2.30643630027771
48,10.89597402732334,1047,2.23042368888855
49,10.659411286126929,1040,2.2389066219329834
50,10.428043142758705,1054,2.306002140045166
