K,MSE,ITERATIONS,EXECUTION TIME
2,44.19884800650298,3132,6.255883693695068
3,27.902544598370085,5166,10.123188734054565
4,13.972232442365417,6128,10.74342942237854
5,8.412325987660457,6390,6.7134764194488525
6,6.492873598144261,11776,8.316083431243896
7,5.450080302816115,9564,6.377310514450073
8,4.709019215403521,7737,5.408072233200073
9,4.062365929302938,6647,4.827702522277832
10,3.5982918202884675,6707,5.054232597351074
11,3.2050410387951938,6157,4.850680828094482
12,2.909941271494108,6156,4.864303350448608
13,2.648288022223613,6407,5.262945890426636
14,2.4552041363511448,5085,4.365171194076538
15,2.2997224845809088,4797,4.128067970275879
16,2.1638256479303912,4817,4.381242990493774
17,2.0393986326926257,4695,4.264891862869263
18,1.9215857724185075,4351,3.950798988342285
19,1.8197705476265622,4441,4.072643995285034
20,1.719302238490411,4079,3.8563196659088135
21,1.6350597819494652,3823,3.6537106037139893
22,1.557091005928216,3851,3.7921645641326904
23,1.4807654403590795,3838,3.8917319774627686
24,1.4097120187420789,3972,4.059716463088989
25,1.3432157264669202,4018,4.2059197425842285
26,1.2789623565050015,4071,4.305782794952393
27,1.2210896783129905,3787,4.214054584503174
28,1.1654514855521771,3693,4.081443786621094
29,1.1109548445223383,3592,4.1254682540893555
30,1.0633768007161244,3607,4.203648328781128
31,1.0188664910874055,3828,4.65627384185791
32,0.9815474655613764,3285,4.078118801116943
33,0.948588248150862,3346,4.1174657344818115
34,0.9156867211950228,3154,3.9029746055603027
35,0.8835734624230177,3183,4.072039365768433
36,0.856449517302217,3022,3.940265417098999
37,0.8298296917829175,2956,3.8824355602264404
38,0.8070949119497943,2959,4.005775690078735
39,0.7845028709485607,2716,3.8355860710144043
40,0.7619736578796288,2701,3.81265926361084
41,0.739976406284337,2697,3.8498473167419434
42,0.717988181177913,2516,3.633709192276001
43,0.6981298221280272,2556,3.82338285446167
44,0.6798478327664437,2589,3.922053337097168
45,0.6622206496354814,2570,4.003194093704224
46,0.6450877600545236,2574,4.032933712005615
47,0.6280314424012571,2531,3.9736578464508057
48,0.6113528558637236,2526,3.98340106010437
49,0.59478743147951,2519,3.9647669792175293
50,0.5802416527932879,2556,4.096561431884766
