K,MSE,ITERATIONS,EXECUTION TIME
2,44.19884800650298,593,1.2341301441192627
3,27.902544598370085,951,1.3607144355773926
4,13.972232442365417,1136,1.1890759468078613
5,8.412325987660457,1194,1.271738052368164
6,6.492873598144261,2351,1.650827169418335
7,5.450080302816115,1613,1.1178414821624756
8,4.709019215403521,1440,1.0378425121307373
9,4.067902985563247,1223,0.9168884754180908
10,3.597407812587324,1269,0.9635968208312988
11,3.2348106872350484,1208,0.9940836429595947
12,2.8864005147068346,1288,1.0662429332733154
13,2.646508022788953,936,0.8096435070037842
14,2.456234401844422,778,0.7292792797088623
15,2.300752750074186,759,0.7208526134490967
16,2.1680128837189976,739,0.7127151489257812
17,2.044585280235051,729,0.7172558307647705
18,1.9289226245702884,712,0.780123233795166
19,1.8211288438275215,649,0.6967661380767822
20,1.7193565189163968,637,0.6597206592559814
21,1.635114062375451,603,0.6299123764038086
22,1.5571868889159644,551,0.5917508602142334
23,1.480861323346828,575,0.6839592456817627
24,1.411081806921242,626,0.7500202655792236
25,1.3445855146460834,599,0.6952047348022461
26,1.2813652356220244,682,0.7805407047271729
27,1.2231716053110469,599,0.720496416091919
28,1.1663061163406403,627,0.7415199279785156
29,1.1118094753108014,602,0.7442834377288818
30,1.0642851316435489,580,0.7654852867126465
31,1.0192272930676016,610,0.74755859375
32,0.9824576014410972,533,0.6737580299377441
33,0.9494983840305827,550,0.7124490737915039
34,0.9168254274922943,463,0.6460883617401123
35,0.8847188206872502,480,0.6886641979217529
36,0.8573818552961769,468,0.6543190479278564
37,0.8302067549828299,473,0.702242374420166
38,0.807677541913898,448,0.6406064033508301
39,0.7856802903186062,445,0.7123780250549316
40,0.7645685739901701,417,0.6293339729309082
41,0.7449280892168543,421,0.6397497653961182
42,0.725110489244261,446,0.6758158206939697
43,0.7056512165217305,427,0.6582236289978027
44,0.6868493955908331,393,0.6437928676605225
45,0.6685674062292496,420,0.6831743717193604
46,0.6506492624773558,379,0.6768383979797363
47,0.6328277191581213,345,0.6739022731781006
48,0.6152005360271591,356,0.6693496704101562
49,0.5981442183738925,330,0.6080808639526367
50,0.581465631836359,367,0.678025484085083
