K,MSE,ITERATIONS,EXECUTION TIME
2,44.19884800650298,267,1.207888126373291
3,27.902544598370085,649,1.7315237522125244
4,13.972232442365417,969,2.2183964252471924
5,8.412325987660457,1292,2.5117030143737793
6,6.492873598144261,2513,3.24432110786438
7,5.441714671541673,1830,3.1079211235046387
8,4.701374992203169,1823,3.431833028793335
9,4.047167167543615,1769,3.621473550796509
10,3.5980673077698917,1845,3.9167349338531494
11,3.204525255389249,1690,4.174928188323975
12,2.8885009623962628,1828,4.57709813117981
13,2.64428948937758,1691,4.7637152671813965
14,2.4681004701386087,1746,5.061218500137329
15,2.3158566223625026,1750,5.4062817096710205
16,2.1833420491746773,1548,5.555150747299194
17,2.0778548014400076,1522,5.758599042892456
18,1.9414998803123924,1565,6.203803777694702
19,1.857311043311221,1435,6.563650369644165
20,1.7501550631408098,1500,6.658864498138428
21,1.672606329400553,1388,6.760922908782959
22,1.563023230227423,1466,7.04332709312439
23,1.5235372018114235,1406,7.3165717124938965
24,1.4346590742096015,1433,7.620257377624512
25,1.3779330563915202,1378,7.949957370758057
26,1.3014447364407769,1537,8.414955854415894
27,1.2670936839154212,1346,8.493531942367554
28,1.1934551318336266,1321,8.979438543319702
29,1.1547494602158985,1261,9.389341354370117
30,1.109193491705906,1297,9.839312314987183
31,1.0710989462617975,1316,9.900442838668823
32,1.0480660513512747,1376,10.375730037689209
33,0.9910019143616463,1277,10.281460046768188
34,0.9355219553648341,1281,10.511737823486328
35,0.934009969146,1298,11.075771570205688
36,0.9168385150246477,1318,11.531306028366089
37,0.8839370752619433,1263,11.589038610458374
38,0.8406773905059689,1260,11.910855531692505
39,0.8231146003053247,1230,12.10806131362915
40,0.7936529023660153,1216,12.322990655899048
41,0.7782548565513698,1228,12.728423118591309
42,0.751483040645244,1208,13.077705144882202
43,0.7417083616743539,1209,13.443564414978027
44,0.7050230508582498,1198,13.53104019165039
45,0.6962145165247892,1200,13.920273780822754
46,0.6774208625277321,1136,14.772114515304565
47,0.6698964954324582,1164,15.274100303649902
48,0.6532518963871516,1099,15.157119750976562
49,0.6367592545871856,1195,15.199912786483765
50,0.6257230065426908,1086,15.131136894226074
