K,MSE,ITERATIONS,EXECUTION TIME
2,3.356552391251969,438,0.06693506240844727
3,2.687351038874704,1095,0.11535382270812988
4,2.2597768980944988,1076,0.1271650791168213
5,1.840070960124714,1224,0.16079974174499512
6,1.5904615267625237,1434,0.19092631340026855
7,1.344015756699911,1138,0.170989990234375
8,1.2067416886806206,907,0.1590406894683838
9,1.1026357317913054,708,0.14955925941467285
10,1.0152886068640998,697,0.1575930118560791
11,0.9315615944636734,714,0.167555570602417
12,0.8540303054686391,664,0.16735482215881348
13,0.7882459528874936,656,0.17741751670837402
14,0.7283259570513707,599,0.17080211639404297
15,0.6846238360099197,601,0.1864767074584961
16,0.6421072940074887,607,0.20159506797790527
17,0.5999386444093578,530,0.18756103515625
18,0.5597379677531633,474,0.18222355842590332
19,0.5358040451672139,416,0.1714644432067871
20,0.5125117274320458,409,0.17907118797302246
21,0.49011272003747663,403,0.17536020278930664
22,0.46818162512601846,397,0.19484162330627441
23,0.4471025184009625,378,0.19897794723510742
24,0.426178265674245,376,0.19965195655822754
25,0.40721664390345,362,0.1999661922454834
26,0.39040382189200706,343,0.20458245277404785
27,0.37415239808097034,327,0.1944890022277832
28,0.35813226296051026,324,0.2010817527770996
29,0.345065111896773,328,0.20725083351135254
30,0.33247579164655516,325,0.2190401554107666
31,0.320140691719179,315,0.2138209342956543
32,0.30793936026910007,300,0.21354174613952637
33,0.29712515188181154,294,0.21149206161499023
34,0.28668191895431383,288,0.22126412391662598
35,0.2765243193637642,286,0.2182614803314209
36,0.26644363910574653,282,0.2187051773071289
37,0.25637127207664034,280,0.2320549488067627
38,0.24637759367936996,270,0.22797369956970215
39,0.23702484163786608,267,0.22526788711547852
40,0.22857148688411755,263,0.2425086498260498
41,0.22041157669465594,255,0.2327260971069336
42,0.21274968847543052,254,0.23262524604797363
43,0.2054065275921384,253,0.23967480659484863
44,0.19829345823048716,238,0.24751973152160645
45,0.19141180596945662,234,0.23947381973266602
46,0.18477151934283298,233,0.23934268951416016
47,0.17885857679258987,226,0.2502477169036865
48,0.17312592538350535,222,0.24196457862854004
49,0.16751977130645213,220,0.2495269775390625
50,0.16217404783896294,218,0.24820184707641602
