K,MSE,ITERATIONS,EXECUTION TIME
2,3.356552391251969,301,0.04657554626464844
3,2.687351038874704,770,0.08362269401550293
4,2.2597768980944988,739,0.07959675788879395
5,1.840070960124714,812,0.10800313949584961
6,1.5904615267625237,947,0.12909603118896484
7,1.344015756699911,735,0.11236381530761719
8,1.2067416886806206,578,0.10944318771362305
9,1.1026357317913054,468,0.09827065467834473
10,1.0152886068640998,457,0.09893584251403809
11,0.9315799169466707,461,0.10675930976867676
12,0.8540486279516365,433,0.10804915428161621
13,0.7892687585072733,425,0.11875724792480469
14,0.7293487626711505,373,0.11437630653381348
15,0.683429119061626,379,0.11786746978759766
16,0.6412604694634951,362,0.12362861633300781
17,0.5999386444093578,314,0.11842632293701172
18,0.5597379677531633,305,0.1143953800201416
19,0.5358040451672139,255,0.11132693290710449
20,0.5125117274320458,260,0.11467528343200684
21,0.49011272003747663,264,0.11714720726013184
22,0.46818162512601846,253,0.12258148193359375
23,0.4471025184009625,231,0.12835264205932617
24,0.426178265674245,243,0.12497854232788086
25,0.40721664390345,242,0.13120484352111816
26,0.39040382189200706,217,0.1279585361480713
27,0.37415239808097034,203,0.11618947982788086
28,0.35813226296051026,208,0.14159035682678223
29,0.345065111896773,209,0.13293695449829102
30,0.33247579164655516,205,0.1373894214630127
31,0.320140691719179,203,0.1375565528869629
32,0.30793936026910007,188,0.13274908065795898
33,0.29712515188181154,184,0.14810466766357422
34,0.28668191895431383,183,0.1354503631591797
35,0.2765243193637642,179,0.14927172660827637
36,0.26644363910574653,182,0.15079307556152344
37,0.25637127207664034,182,0.1517794132232666
38,0.24637759367936996,181,0.14827299118041992
39,0.23702484163786608,175,0.1580183506011963
40,0.22857148688411755,166,0.14905357360839844
41,0.22041157669465594,163,0.15863919258117676
42,0.21274968847543052,162,0.14983725547790527
43,0.2054065275921384,164,0.16649651527404785
44,0.19829345823048716,157,0.1588892936706543
45,0.19141180596945662,149,0.16578125953674316
46,0.1854988634192135,149,0.17716598510742188
47,0.17968401704497006,150,0.17573857307434082
48,0.17395136563588554,148,0.16602230072021484
49,0.1683452115588323,147,0.16543269157409668
50,0.16299948809134313,153,0.18219447135925293
