K,MSE,ITERATIONS,EXECUTION TIME
2,3.356552391251969,147,0.09826803207397461
3,2.687351038874704,526,0.1666557788848877
4,2.2597768980944988,671,0.22133278846740723
5,1.840070960124714,764,0.27393126487731934
6,1.5890223396733236,853,0.3450143337249756
7,1.347061467052291,799,0.369983434677124
8,1.2328641088458383,831,0.43341588973999023
9,1.1186683886826585,856,0.4750699996948242
10,1.0282418061300491,780,0.520611047744751
11,0.9404991467564515,780,0.549863338470459
12,0.8723923778145157,785,0.6030294895172119
13,0.8103439247060804,740,0.6624994277954102
14,0.7344492713037729,712,0.691852331161499
15,0.7083801205877491,750,0.7514026165008545
16,0.6547460230876805,746,0.8006851673126221
17,0.6022226219418638,702,0.8372664451599121
18,0.5900967924843239,631,0.860161304473877
19,0.5451335008706825,611,0.9541542530059814
20,0.5240021082538681,652,0.9897663593292236
21,0.5077703923748303,598,1.0301387310028076
22,0.4889661605876161,573,1.0433554649353027
23,0.4680053886462793,544,1.081310749053955
24,0.44943809436623916,569,1.136005163192749
25,0.4386003048924455,596,1.183342695236206
26,0.4201955878483926,556,1.2265877723693848
27,0.3952592313421547,520,1.2691466808319092
28,0.3758907427913829,521,1.3070435523986816
29,0.3649789012947413,516,1.3859405517578125
30,0.35047856991075055,509,1.3904824256896973
31,0.3511605055840421,523,1.4365451335906982
32,0.33566084665490903,490,1.4753711223602295
33,0.32163003625505004,466,1.5790843963623047
34,0.31123028955611554,455,1.559525966644287
35,0.30010433432617944,458,1.6215507984161377
36,0.2865388993841431,433,1.6564457416534424
37,0.270221105523338,444,1.6844098567962646
38,0.2710024014533694,487,1.7615258693695068
39,0.26250672897678395,454,1.7788879871368408
40,0.25224644673371743,432,1.8125622272491455
41,0.24444849325984097,424,1.8887526988983154
42,0.2314169483520977,403,1.8934049606323242
43,0.22729443079659528,414,1.9460558891296387
44,0.22628214901694121,417,1.957125186920166
45,0.21286819844596738,412,2.011687755584717
46,0.2090756563053623,386,2.047030448913574
47,0.19806519045187387,395,2.1254029273986816
48,0.1981635760454996,382,2.1691393852233887
49,0.18936954497486957,397,2.220168352127075
50,0.17540147484804136,362,2.27181339263916
