K,MSE,ITERATIONS,EXECUTION TIME
2,3.356552391251969,191,0.03930234909057617
3,2.687351038874704,571,0.07266616821289062
4,2.260409654285644,744,0.09509468078613281
5,1.840070960124714,795,0.12002754211425781
6,1.591191412313194,810,0.14450454711914062
7,1.3466045335755,851,0.15468931198120117
8,1.2263098424826513,902,0.18034839630126953
9,1.1116065589384674,923,0.19970083236694336
10,1.02580280836146,915,0.22054076194763184
11,0.9354388394996472,848,0.22514557838439941
12,0.8793951897660982,805,0.23216605186462402
13,0.8231439094637604,869,0.26695942878723145
14,0.7736557491783456,864,0.2683115005493164
15,0.7149668969172647,788,0.26948022842407227
16,0.6813011587144807,817,0.2933652400970459
17,0.6221848462330426,811,0.29906797409057617
18,0.6155354097932432,768,0.3173983097076416
19,0.5660744349107044,759,0.3264901638031006
20,0.5371317503819479,759,0.32122302055358887
21,0.5139428673905817,732,0.32677578926086426
22,0.5109156169374136,704,0.37480807304382324
23,0.48355590986146757,671,0.3506031036376953
24,0.45819499914353135,686,0.3984379768371582
25,0.4422719966136842,624,0.366222620010376
26,0.4480246440022072,619,0.374326229095459
27,0.42743497496647953,604,0.4003946781158447
28,0.4057517540790412,592,0.4154634475708008
29,0.4010609718121595,605,0.4086642265319824
30,0.3765720253622349,626,0.4366436004638672
31,0.3595086238144921,594,0.428638219833374
32,0.3527663698632215,571,0.45091772079467773
33,0.3439773444963664,575,0.49054646492004395
34,0.3378476536571424,593,0.483501672744751
35,0.31192432534435666,563,0.4794485569000244
36,0.3103430604036054,557,0.4936988353729248
37,0.3049262139543558,512,0.47925901412963867
38,0.2933421091667312,537,0.5142862796783447
39,0.29115200892004556,497,0.5163059234619141
40,0.2707857592433849,516,0.5069999694824219
41,0.27308672710918125,501,0.5276992321014404
42,0.26115153592527296,525,0.5379908084869385
43,0.25391938658091207,508,0.5266690254211426
44,0.2357478515888748,488,0.5396144390106201
45,0.23442458942829514,506,0.5845882892608643
46,0.22021920516552917,469,0.5737464427947998
47,0.21463474828650786,477,0.6036186218261719
48,0.2236663636937054,455,0.5658628940582275
49,0.2030536488088669,446,0.5498836040496826
50,0.2073698461578326,456,0.5901885032653809
