K,MSE,ITERATIONS,EXECUTION TIME
2,61.86017738665856,628,0.0698695182800293
3,51.98580187719131,716,0.07998037338256836
4,46.943346784526575,672,0.0752413272857666
5,43.29312200624183,495,0.07500433921813965
6,40.60168200900662,494,0.0749824047088623
7,38.20753316849297,377,0.06505060195922852
8,36.429617666212366,286,0.06767106056213379
9,34.69331734061491,268,0.06238436698913574
10,33.41084410565895,216,0.06291604042053223
11,32.29641527135636,197,0.06556463241577148
12,31.243831484589002,190,0.061209678649902344
13,30.35411413314457,186,0.07222247123718262
14,29.514936675668554,181,0.0683906078338623
15,28.70922964258601,161,0.0831298828125
16,27.940707510586776,159,0.0663754940032959
17,27.187150815106435,156,0.08462905883789062
18,26.459320328843617,147,0.08427143096923828
19,25.82291214405359,139,0.08112812042236328
20,25.204715122145068,141,0.08287501335144043
21,24.602269578943456,144,0.08723688125610352
22,24.03762969632251,146,0.10008049011230469
23,23.475747000509045,143,0.0952901840209961
24,22.98755769921932,138,0.09473252296447754
25,22.51287753336642,127,0.09182476997375488
26,22.053959816233665,129,0.09280085563659668
27,21.6241993403237,133,0.10363936424255371
28,21.204590014544653,130,0.10275411605834961
29,20.790497756323923,131,0.09776163101196289
30,20.381603446559918,128,0.11638665199279785
31,19.976178486385905,126,0.10349011421203613
32,19.589657382844063,123,0.11425042152404785
33,19.225223331945624,124,0.11716341972351074
34,18.86590244087792,123,0.1185448169708252
35,18.510990358896763,122,0.12011218070983887
36,18.15659707195067,116,0.1199948787689209
37,17.81565756473171,121,0.12309765815734863
38,17.480783830038284,117,0.12679839134216309
39,17.12022637406803,124,0.13856863975524902
40,16.736271155821733,123,0.13365864753723145
41,16.39433934206106,112,0.13410329818725586
42,16.06428744932815,114,0.13367009162902832
43,15.761252403707585,114,0.13503241539001465
44,15.458909645830346,115,0.1348402500152588
45,15.162521300673111,113,0.13976597785949707
46,14.86489648337519,116,0.150007963180542
47,14.575901539539764,115,0.14541196823120117
48,14.291769003780466,117,0.15322566032409668
49,14.01945257226847,113,0.14700961112976074
50,13.75396701726444,112,0.15420889854431152
