K,MSE,ITERATIONS,EXECUTION TIME
2,61.86017738665856,667,0.07881379127502441
3,51.98580187719131,698,0.089813232421875
4,46.943346784526575,672,0.09027361869812012
5,43.29312200624183,516,0.08955240249633789
6,40.60168200900662,468,0.09006309509277344
7,38.20753316849297,360,0.08008360862731934
8,36.429617666212366,296,0.07300090789794922
9,34.69331734061491,257,0.07714128494262695
10,33.3868617090729,220,0.08008599281311035
11,32.27243287477031,189,0.07000017166137695
12,31.179555657479824,190,0.07992434501647949
13,30.289838306035396,171,0.07521390914916992
14,29.410051537257047,185,0.08459186553955078
15,28.5678747153674,160,0.08105731010437012
16,27.814318019887057,163,0.08219122886657715
17,27.086487533624236,159,0.08701229095458984
18,26.397931039917097,148,0.0800008773803711
19,25.779734018008575,148,0.10087299346923828
20,25.177288474806964,146,0.08917450904846191
21,24.61264859218602,149,0.08985495567321777
22,24.050765896372553,141,0.10610795021057129
23,23.506727118281116,136,0.0946652889251709
24,23.01853781699139,136,0.09916210174560547
25,22.543857651138495,127,0.11024165153503418
26,22.08493993400574,134,0.10461688041687012
27,21.65517945809577,130,0.10525178909301758
28,21.235570132316724,128,0.11554455757141113
29,20.821477874095994,123,0.10414791107177734
30,20.41258356433199,121,0.11645674705505371
31,20.00715860415798,125,0.1190786361694336
32,19.620637500616134,124,0.11482954025268555
33,19.2442174211375,128,0.1299445629119873
34,18.819394938578288,122,0.12538552284240723
35,18.460074047510584,121,0.12778401374816895
36,18.105680760564496,121,0.13363432884216309
37,17.764741253345534,121,0.13028883934020996
38,17.42986751865211,121,0.1399822235107422
39,17.087935704891436,120,0.1410970687866211
40,16.75788381215853,121,0.14877653121948242
41,16.435141387660686,119,0.15003681182861328
42,15.983237515562926,118,0.15018558502197266
43,15.66554380311478,118,0.15252256393432617
44,15.362508757494215,115,0.15010547637939453
45,15.060165999616974,116,0.15439724922180176
46,14.763777654459739,115,0.14324259757995605
47,14.466152837161816,114,0.15998291969299316
48,14.177157893326394,115,0.15967082977294922
49,13.893025357567094,115,0.15455889701843262
50,13.620708926055098,116,0.1655712127685547
