K,MSE,ITERATIONS,EXECUTION TIME
2,117.51674686295942,1602,0.15754413604736328
3,109.8144538426951,773,0.10101819038391113
4,104.23105453196432,594,0.08335566520690918
5,99.64176717212962,487,0.0838479995727539
6,95.3862695294548,366,0.08060836791992188
7,92.54695104999723,315,0.07376265525817871
8,89.95981256584744,288,0.07774472236633301
9,88.03073822272665,262,0.0819540023803711
10,86.19600644414234,254,0.08252406120300293
11,84.39529490322522,229,0.0843808650970459
12,82.72291588725602,223,0.08458709716796875
13,80.56732075086586,222,0.09992170333862305
14,78.95381697236014,218,0.09832882881164551
15,77.41400959536486,213,0.10425639152526855
16,75.92261407163778,214,0.09649181365966797
17,74.46428856732192,215,0.11393451690673828
18,73.05475209555917,212,0.10906291007995605
19,71.70406167944418,206,0.12299513816833496
20,70.35605358373573,202,0.1176614761352539
21,69.04656143329095,200,0.12380313873291016
22,67.81057326765368,198,0.13279175758361816
23,66.58676342820854,198,0.12795209884643555
24,65.42596888355422,195,0.13869237899780273
25,64.27182322771444,194,0.1349501609802246
26,63.2403015447478,183,0.1429293155670166
27,62.22857727947491,182,0.13301539421081543
28,61.25308793387116,180,0.14833426475524902
29,60.29192027353521,179,0.15180444717407227
30,59.362148234830656,178,0.14770889282226562
31,58.43834064461829,174,0.1596217155456543
32,57.52392560091474,173,0.15885090827941895
33,56.63044169735484,172,0.15730643272399902
34,55.74429823731306,171,0.16528654098510742
35,54.84637498792259,170,0.16122889518737793
36,53.9611580204156,169,0.16222143173217773
37,53.04577649392155,167,0.17900371551513672
38,52.17088766040001,165,0.1736316680908203
39,51.3008821140904,163,0.17517399787902832
40,50.43656006107643,162,0.1830735206604004
41,49.579425700514435,158,0.18525147438049316
42,48.7248025658336,157,0.1880171298980713
43,47.884590023180465,155,0.1867074966430664
44,47.05749574416264,154,0.19115233421325684
45,46.23060791715545,153,0.19048500061035156
46,45.40538547368473,151,0.19364285469055176
47,44.58908884541178,150,0.1943800449371338
48,43.769784712847766,149,0.1955420970916748
49,42.95408528958851,147,0.20367741584777832
50,42.134441578535444,146,0.2123093605041504
