K,MSE,ITERATIONS,EXECUTION TIME
2,4.9066181655010865e-05,517,0.060508012771606445
3,3.730736476970087e-05,799,0.08051037788391113
4,3.256592161193783e-05,828,0.08982205390930176
5,2.9620369080496367e-05,616,0.08050346374511719
6,2.7252870156591058e-05,578,0.08300185203552246
7,2.521789462173185e-05,490,0.08150458335876465
8,2.386875189874793e-05,401,0.07550835609436035
9,2.2571395004722383e-05,330,0.07250833511352539
10,2.1573395342366908e-05,259,0.06800150871276855
11,2.072353163418139e-05,238,0.0675055980682373
12,1.9871149914529873e-05,227,0.06950712203979492
13,1.9103675342857507e-05,213,0.072509765625
14,1.8442036259114225e-05,183,0.06950759887695312
15,1.785198632264784e-05,199,0.07550835609436035
16,1.7343359665966673e-05,172,0.07517266273498535
17,1.6836021274446722e-05,177,0.07850909233093262
18,1.635371642660921e-05,168,0.07799983024597168
19,1.586413962695321e-05,174,0.08450770378112793
20,1.5450264808536396e-05,149,0.07850861549377441
21,1.507135700673512e-05,148,0.08051943778991699
22,1.472587112838486e-05,151,0.08650803565979004
23,1.4388433130285705e-05,135,0.08552765846252441
24,1.4063224476057457e-05,152,0.0930020809173584
25,1.374381571417338e-05,143,0.09585809707641602
26,1.3432311353978044e-05,138,0.09451460838317871
27,1.3151434032687703e-05,145,0.09954643249511719
28,1.2872327024959773e-05,148,0.10509705543518066
29,1.2594164644830208e-05,141,0.10551834106445312
30,1.2321958112182507e-05,145,0.10903596878051758
31,1.205701773665524e-05,141,0.10850310325622559
32,1.1797591350504177e-05,130,0.10753130912780762
33,1.1553935451602548e-05,132,0.11151957511901855
34,1.1309938736325797e-05,123,0.1125190258026123
35,1.106886300650256e-05,129,0.11651611328125
36,1.084486118618777e-05,125,0.11851930618286133
37,1.0622327376808016e-05,126,0.12003779411315918
38,1.0406967926090971e-05,125,0.12351250648498535
39,1.0197856210591993e-05,124,0.1235194206237793
40,9.989963237977406e-06,120,0.12751984596252441
41,9.787181355136454e-06,120,0.1260392665863037
42,9.565184487581035e-06,119,0.13052010536193848
43,9.372984874245205e-06,114,0.12851715087890625
44,9.17998620197924e-06,113,0.13201379776000977
45,8.993611990582018e-06,112,0.13052725791931152
46,8.803111757771376e-06,114,0.14049839973449707
47,8.62387108324647e-06,112,0.13803648948669434
48,8.441440615847284e-06,113,0.1425178050994873
49,8.264079452535711e-06,112,0.1435253620147705
50,8.091338043025864e-06,110,0.15403056144714355
