K,MSE,ITERATIONS,EXECUTION TIME
2,4.9066181655010865e-05,568,0.07350754737854004
3,3.729485658188203e-05,775,0.08851170539855957
4,3.256592161193783e-05,788,0.09850883483886719
5,2.9620369080496367e-05,606,0.08900642395019531
6,2.7252870156591058e-05,541,0.0895090103149414
7,2.521789462173185e-05,499,0.09450531005859375
8,2.384311589886945e-05,382,0.08451437950134277
9,2.25457590048439e-05,331,0.08250832557678223
10,2.1558218869510704e-05,263,0.07950854301452637
11,2.0705837149859185e-05,245,0.08151721954345703
12,1.9879402137434887e-05,208,0.07700395584106445
13,1.911192756576252e-05,212,0.08350729942321777
14,1.845028848201924e-05,190,0.08251142501831055
15,1.7865818263129718e-05,184,0.08350896835327148
16,1.7357191606448552e-05,178,0.08952188491821289
17,1.68498532149286e-05,168,0.08752250671386719
18,1.6351106135625848e-05,166,0.09052181243896484
19,1.586413962695321e-05,159,0.09348058700561523
20,1.5450264808536396e-05,163,0.09500670433044434
21,1.507135700673512e-05,156,0.09543180465698242
22,1.472587112838486e-05,149,0.10151052474975586
23,1.4388433130285705e-05,142,0.09850668907165527
24,1.4063224476057457e-05,148,0.10499286651611328
25,1.375172011586212e-05,138,0.10350966453552246
26,1.343984089852146e-05,141,0.10851407051086426
27,1.315896357723112e-05,138,0.10951113700866699
28,1.2880801197101555e-05,143,0.11551284790039062
29,1.2607237836692597e-05,136,0.1135091781616211
30,1.2335031304044897e-05,134,0.11751365661621094
31,1.2075604917893834e-05,127,0.11752653121948242
32,1.18238576173324e-05,131,0.12402558326721191
33,1.1580201718430772e-05,125,0.12151288986206055
34,1.133620500315402e-05,119,0.12263035774230957
35,1.1095129273330784e-05,122,0.12551522254943848
36,1.0871127453015994e-05,121,0.1318836212158203
37,1.064859364363624e-05,121,0.13351225852966309
38,1.0433234192919194e-05,123,0.13851523399353027
39,1.0220663057114443e-05,119,0.1360156536102295
40,1.0011551341615466e-05,118,0.14051365852355957
41,9.803658369000878e-06,113,0.137040376663208
42,9.595982651267043e-06,114,0.14251136779785156
43,9.403783037931213e-06,115,0.1445145606994629
44,9.210784365665248e-06,115,0.1500234603881836
45,9.024410154268026e-06,116,0.15051555633544922
46,8.833909921457384e-06,114,0.15303874015808105
47,8.651479454058197e-06,114,0.14999938011169434
48,8.472238779533292e-06,116,0.15951752662658691
49,8.294877616221719e-06,112,0.15702247619628906
50,8.122136206711872e-06,115,0.1635117530822754
