K,MSE,ITERATIONS,EXECUTION TIME
2,4.9066181655010865e-05,377,0.11451029777526855
3,3.729485658188203e-05,534,0.16501998901367188
4,3.256592161193783e-05,668,0.21505260467529297
5,2.9620369080496367e-05,687,0.26552700996398926
6,2.7252870156591058e-05,627,0.30052852630615234
7,2.5238766207635877e-05,649,0.3495304584503174
8,2.383525782656548e-05,628,0.3890259265899658
9,2.2583753232385817e-05,580,0.4265155792236328
10,2.1806165514948184e-05,582,0.46388936042785645
11,2.090738342386267e-05,568,0.5085480213165283
12,2.0126539690634715e-05,567,0.55177903175354
13,1.9639374385316266e-05,562,0.5920915603637695
14,1.89922395623654e-05,539,0.633570671081543
15,1.8147542071189626e-05,503,0.6742730140686035
16,1.7548924626353823e-05,460,0.7065694332122803
17,1.7454425428331533e-05,492,0.7525622844696045
18,1.691832089389944e-05,464,0.8000783920288086
19,1.652139979968492e-05,493,0.8436017036437988
20,1.624436509295446e-05,431,0.8726541996002197
21,1.5529456961371757e-05,424,0.9108595848083496
22,1.529031670366443e-05,436,0.9608099460601807
23,1.5043180523366395e-05,404,0.9912095069885254
24,1.4633826600163324e-05,410,1.0401322841644287
25,1.414182670256281e-05,379,1.07216477394104
26,1.394560566725378e-05,393,1.1291882991790771
27,1.368562817205543e-05,370,1.1651830673217773
28,1.3349773478332772e-05,374,1.2141001224517822
29,1.2946761182575095e-05,399,1.2711138725280762
30,1.2673915779970457e-05,368,1.2925341129302979
31,1.2705846221483519e-05,343,1.3246243000030518
32,1.2330298765128589e-05,363,1.3651528358459473
33,1.1943602576613976e-05,353,1.421142578125
34,1.1654197582866566e-05,357,1.4641165733337402
35,1.1293463693662353e-05,314,1.4787142276763916
36,1.1307608193789065e-05,324,1.5197222232818604
37,1.1000789697290791e-05,319,1.5742287635803223
38,1.085969423486599e-05,310,1.611633062362671
39,1.0397392317562648e-05,302,1.6381309032440186
40,1.0510744604785849e-05,295,1.6691668033599854
41,1.0157347270056682e-05,292,1.7260959148406982
42,9.973569522037096e-06,297,1.75700044631958
43,9.839498613217756e-06,278,1.804764747619629
44,9.669582547777722e-06,293,1.8459415435791016
45,9.49735103839e-06,269,1.8687899112701416
46,9.206706633957396e-06,251,1.9052748680114746
47,9.084040149098804e-06,281,1.9961786270141602
48,8.971662465495633e-06,262,2.002197027206421
49,8.626321737259524e-06,277,2.0812129974365234
50,8.633761835907805e-06,273,2.113675594329834
