K,MSE,ITERATIONS,EXECUTION TIME
2,4.9066181655010865e-05,410,0.05399823188781738
3,3.729485658188203e-05,531,0.06850814819335938
4,3.256592161193783e-05,687,0.09250903129577637
5,2.9620369080496367e-05,790,0.11706089973449707
6,2.7264983399888365e-05,713,0.12150979042053223
7,2.5225089355096486e-05,699,0.13400769233703613
8,2.3938209686380496e-05,660,0.14467406272888184
9,2.2602184457376495e-05,650,0.1545102596282959
10,2.179389407319654e-05,664,0.1750197410583496
11,2.0972205913349917e-05,633,0.1805412769317627
12,2.0013492902593022e-05,587,0.19402241706848145
13,1.957940994745666e-05,597,0.2040266990661621
14,1.8977548914111964e-05,622,0.21902179718017578
15,1.8382319499465893e-05,553,0.217529296875
16,1.8000533650752715e-05,507,0.22101759910583496
17,1.7272224018261007e-05,504,0.23201560974121094
18,1.697680312517935e-05,523,0.25112104415893555
19,1.6366516543131482e-05,497,0.25602078437805176
20,1.6381788372821227e-05,484,0.2630915641784668
21,1.5705013473588103e-05,475,0.26853227615356445
22,1.5812068204446028e-05,493,0.2875344753265381
23,1.484693569220319e-05,433,0.2811572551727295
24,1.4867109628724506e-05,445,0.2965254783630371
25,1.46054853729094e-05,449,0.3097567558288574
26,1.4031625124477642e-05,445,0.3125295639038086
27,1.3800582921108528e-05,419,0.3145172595977783
28,1.3522272289456794e-05,414,0.32303810119628906
29,1.3421575955741005e-05,429,0.344036340713501
30,1.3178690496773449e-05,397,0.33801913261413574
31,1.2901624169558978e-05,361,0.3380300998687744
32,1.2712022474548057e-05,395,0.3570277690887451
33,1.2027327534025467e-05,366,0.35604143142700195
34,1.2221851865445998e-05,357,0.3620312213897705
35,1.1735805669932375e-05,370,0.37300968170166016
36,1.1516139446943185e-05,359,0.38103437423706055
37,1.133685620713365e-05,363,0.3895556926727295
38,1.1281430523091274e-05,338,0.38704371452331543
39,1.0844594067971336e-05,343,0.40683674812316895
40,1.0646148670190314e-05,339,0.4155454635620117
41,1.0570462918857437e-05,305,0.40454530715942383
42,1.0461526331551063e-05,300,0.4145526885986328
43,1.029859976886538e-05,288,0.4090433120727539
44,1.0070749355550745e-05,324,0.43763089179992676
45,9.707704712647036e-06,283,0.42755699157714844
46,9.720453131634166e-06,295,0.4465606212615967
47,9.555322734167149e-06,279,0.44904088973999023
48,9.37422871005733e-06,295,0.4626438617706299
49,9.08272531918719e-06,274,0.45767736434936523
50,8.857135206929989e-06,264,0.4547879695892334
