K,MSE,ITERATIONS,EXECUTION TIME
2,61.86017738665856,953,0.10984134674072266
3,51.98580187719131,1015,0.11211490631103516
4,46.943346784526575,1056,0.12708616256713867
5,43.29312200624183,781,0.10633707046508789
6,40.60168200900662,723,0.11503815650939941
7,38.20753316849297,549,0.10889005661010742
8,36.429617666212366,471,0.11017155647277832
9,34.69331734061491,400,0.10498976707458496
10,33.3868617090729,339,0.10016465187072754
11,32.27243287477031,309,0.09997224807739258
12,31.179555657479824,297,0.10976386070251465
13,30.289838306035396,288,0.1121983528137207
14,29.410051537257047,283,0.11810755729675293
15,28.5678747153674,264,0.11417055130004883
16,27.814318019887057,255,0.11576604843139648
17,27.086487533624236,245,0.1200408935546875
18,26.397931039917097,233,0.12999224662780762
19,25.779734018008575,229,0.13001060485839844
20,25.177288474806964,227,0.13490796089172363
21,24.61264859218602,226,0.13481545448303223
22,24.050765896372553,225,0.1402146816253662
23,23.506727118281116,219,0.13994979858398438
24,23.01853781699139,215,0.1481611728668213
25,22.543857651138495,205,0.14826321601867676
26,22.08493993400574,202,0.1516704559326172
27,21.65517945809577,201,0.13992714881896973
28,21.235570132316724,198,0.16116714477539062
29,20.821477874095994,194,0.15854740142822266
30,20.41258356433199,186,0.16022491455078125
31,20.00715860415798,188,0.16111278533935547
32,19.620637500616134,186,0.16385340690612793
33,19.2442174211375,185,0.17006325721740723
34,18.819394938578288,183,0.16995716094970703
35,18.460074047510584,180,0.1796877384185791
36,18.105680760564496,178,0.18030023574829102
37,17.764741253345534,176,0.18010926246643066
38,17.42986751865211,175,0.19173955917358398
39,17.087935704891436,174,0.1880946159362793
40,16.75788381215853,173,0.19022750854492188
41,16.435141387660686,168,0.18977832794189453
42,15.983237515562926,168,0.2002089023590088
43,15.66554380311478,167,0.1994941234588623
44,15.362508757494215,166,0.21019697189331055
45,15.060165999616974,165,0.19991827011108398
46,14.763777654459739,164,0.21535205841064453
47,14.466152837161816,163,0.20467853546142578
48,14.177157893326394,162,0.22064781188964844
49,13.893025357567094,160,0.2154383659362793
50,13.620708926055098,159,0.21413850784301758
