K,MSE,ITERATIONS,EXECUTION TIME
2,6677.504865842413,860,0.10038161277770996
3,3824.901450583875,1103,0.11429834365844727
4,2805.634670680826,1402,0.14801406860351562
5,2197.8241696514124,1211,0.16069722175598145
6,1816.669784068455,939,0.13036251068115234
7,1583.5282861085225,866,0.1585836410522461
8,1381.2401697692806,797,0.1409742832183838
9,1195.417340537222,798,0.15689969062805176
10,1061.8583423405155,779,0.15870928764343262
11,954.089904770279,742,0.1678926944732666
12,876.9805164780148,679,0.17329859733581543
13,802.0481920280536,676,0.18224358558654785
14,744.5819526102596,654,0.19243836402893066
15,700.0509572267731,630,0.19141077995300293
16,657.5824020969743,621,0.20272278785705566
17,618.1742792837093,620,0.20808196067810059
18,580.1044895359566,608,0.20905208587646484
19,543.6888435385938,593,0.21676135063171387
20,509.5249026042684,585,0.22005105018615723
21,481.61900731818685,583,0.23493576049804688
22,454.3663916482618,566,0.23692631721496582
23,430.5603290002977,560,0.24958443641662598
24,409.7497156291947,423,0.2185821533203125
25,389.74322772212327,405,0.20882725715637207
26,371.1409585735754,404,0.2339615821838379
27,353.3524467899632,401,0.22635269165039062
28,335.93126576778116,400,0.226485013961792
29,319.23752527836245,348,0.21132135391235352
30,303.1920322706327,349,0.21897149085998535
31,288.4785221848166,334,0.223130464553833
32,274.7820914628056,332,0.23497605323791504
33,261.17086699843355,353,0.24051928520202637
34,248.9655769627353,351,0.2439258098602295
35,236.86926453378143,349,0.24810051918029785
36,225.75221912865106,318,0.24068856239318848
37,214.66636652284353,315,0.23333525657653809
38,203.5539948481212,316,0.2492542266845703
39,193.16644642409688,312,0.2580440044403076
40,183.1197851909037,309,0.2599189281463623
41,173.76311166062294,307,0.2566192150115967
42,164.6253919563659,306,0.26053333282470703
43,156.7153715914847,304,0.2740647792816162
44,149.89337684531677,283,0.26640820503234863
45,143.87663384358257,281,0.26610493659973145
46,137.92802283803803,279,0.26601696014404297
47,132.10037161773045,277,0.2595696449279785
48,126.89211117449874,275,0.2664635181427002
49,122.41983536582764,262,0.257493257522583
50,117.99451995809848,259,0.2664933204650879
