K,MSE,ITERATIONS,EXECUTION TIME
2,6677.504865842413,577,0.0612645149230957
3,3825.9280275505084,701,0.07795500755310059
4,2805.634670680826,834,0.10722684860229492
5,2197.8241696514124,752,0.09991455078125
6,1816.669784068455,634,0.09614276885986328
7,1583.5282861085225,560,0.11010217666625977
8,1381.2401697692806,500,0.09799981117248535
9,1195.417340537222,458,0.09865355491638184
10,1061.8583423405155,451,0.10986590385437012
11,955.158688924687,417,0.11192202568054199
12,878.0493006324228,385,0.12363743782043457
13,803.1169761824614,388,0.11455750465393066
14,744.1606598555948,366,0.12021446228027344
15,699.6296644721083,340,0.11295175552368164
16,657.2010334212265,316,0.12199068069458008
17,617.7929106079615,309,0.11649703979492188
18,578.7061063486719,309,0.13070273399353027
19,542.2904603513092,314,0.12634563446044922
20,508.1265194169838,281,0.12958884239196777
21,481.08911328486374,284,0.13441920280456543
22,454.3663916482618,292,0.14104032516479492
23,430.5603290002977,271,0.13494253158569336
24,409.7497156291947,238,0.13277602195739746
25,389.74322772212327,231,0.13653159141540527
26,371.1409585735754,223,0.1368107795715332
27,353.3524467899632,234,0.1416463851928711
28,335.93126576778116,231,0.15048909187316895
29,319.23752527836245,191,0.12906551361083984
30,303.1920322706327,192,0.14505767822265625
31,288.4785221848166,193,0.13757753372192383
32,274.7820914628056,187,0.13719868659973145
33,261.17086699843355,200,0.14957237243652344
34,248.9655769627353,195,0.15870118141174316
35,236.86926453378143,211,0.1840372085571289
36,225.75221912865106,187,0.1807689666748047
37,214.66636652284353,187,0.15645313262939453
38,203.5539948481212,181,0.16488981246948242
39,193.16644642409688,187,0.18030452728271484
40,183.1197851909037,186,0.16739249229431152
41,173.76311166062294,183,0.19287633895874023
42,164.6253919563659,186,0.1864478588104248
43,156.7153715914847,173,0.168104887008667
44,149.89337684531677,173,0.19526195526123047
45,143.87663384358257,179,0.19989347457885742
46,137.92802283803803,181,0.19413423538208008
47,132.10037161773045,177,0.1943190097808838
48,126.89211117449874,181,0.22420549392700195
49,122.41983536582764,161,0.20070147514343262
50,117.99451995809848,172,0.2027294635772705
