K,MSE,ITERATIONS,EXECUTION TIME
2,6677.504865842413,532,0.07496833801269531
3,3824.901450583875,740,0.12032175064086914
4,2805.634670680826,877,0.11132240295410156
5,2197.8241696514124,765,0.11177349090576172
6,1816.669784068455,619,0.1032555103302002
7,1583.5282861085225,535,0.10112547874450684
8,1381.2401697692806,495,0.10828185081481934
9,1195.417340537222,485,0.11882472038269043
10,1061.8583423405155,476,0.12839865684509277
11,955.158688924687,434,0.12499356269836426
12,878.0493006324228,378,0.12525200843811035
13,803.1169761824614,383,0.11925792694091797
14,744.1606598555948,370,0.11817312240600586
15,699.6296644721083,353,0.1392073631286621
16,657.2010334212265,335,0.132307767868042
17,617.7929106079615,323,0.13333559036254883
18,578.7061063486719,316,0.1331014633178711
19,542.2904603513092,311,0.15716075897216797
20,508.1265194169838,302,0.13562464714050293
21,481.08911328486374,286,0.14589381217956543
22,454.3663916482618,287,0.14860129356384277
23,430.5603290002977,278,0.16081476211547852
24,409.7497156291947,244,0.14684057235717773
25,389.74322772212327,217,0.14757895469665527
26,371.1409585735754,229,0.14402079582214355
27,353.3524467899632,234,0.15752458572387695
28,335.93126576778116,237,0.1587812900543213
29,319.23752527836245,200,0.15191912651062012
30,303.1920322706327,196,0.16288995742797852
31,288.4785221848166,183,0.15491199493408203
32,274.7820914628056,190,0.15299344062805176
33,261.17086699843355,192,0.16115880012512207
34,248.9655769627353,203,0.19966864585876465
35,236.86926453378143,199,0.1901378631591797
36,225.75221912865106,184,0.17265892028808594
37,214.66636652284353,178,0.17083525657653809
38,203.5539948481212,178,0.1899125576019287
39,193.16644642409688,181,0.18913674354553223
40,183.1197851909037,182,0.18332338333129883
41,173.76311166062294,177,0.17941594123840332
42,164.6253919563659,185,0.1916642189025879
43,156.7153715914847,181,0.19563579559326172
44,149.89337684531677,161,0.18613958358764648
45,143.87663384358257,162,0.19232606887817383
46,137.92802283803803,171,0.19586610794067383
47,132.10037161773045,175,0.19634461402893066
48,126.89211117449874,175,0.2006840705871582
49,122.41983536582764,161,0.18972468376159668
50,117.99451995809848,168,0.19623684883117676
