K,MSE,ITERATIONS,EXECUTION TIME
2,6677.504865842413,449,0.06034564971923828
3,3824.901450583875,777,0.08954763412475586
4,2805.634670680826,1057,0.13185906410217285
5,2197.8241696514124,874,0.12529611587524414
6,1842.8793433916524,995,0.15534377098083496
7,1600.3015181795915,1055,0.17879939079284668
8,1406.6693362652422,977,0.18938112258911133
9,1230.2946268864196,1013,0.21279120445251465
10,1092.3109750073531,987,0.22363877296447754
11,989.0043447338728,994,0.26677799224853516
12,1035.058311495523,953,0.2704472541809082
13,848.986896112219,806,0.2554018497467041
14,821.7514525107938,836,0.2606391906738281
15,789.0464134561573,845,0.30114173889160156
16,726.6671138572724,845,0.3065803050994873
17,679.9080517559241,831,0.31844472885131836
18,656.8591828668457,774,0.3229796886444092
19,604.3934554119,743,0.3222920894622803
20,611.7400818421728,703,0.31345653533935547
21,606.1151719399307,721,0.3482930660247803
22,569.8276357185026,663,0.3339104652404785
23,515.3417177616429,678,0.3727245330810547
24,478.6490322349009,666,0.35890865325927734
25,531.7036404903023,625,0.37887144088745117
26,462.5987368217618,662,0.3974034786224365
27,483.46161901389667,564,0.3633604049682617
28,451.8071380503038,612,0.42153382301330566
29,466.133685372797,582,0.4137248992919922
30,403.5029989543929,589,0.42556023597717285
31,396.4325504993863,596,0.42847514152526855
32,381.0059871353921,564,0.4555480480194092
33,376.8064281024709,539,0.4219777584075928
34,342.7024897909565,531,0.4322011470794678
35,336.309359748525,541,0.44405126571655273
36,326.3792212005336,499,0.46726489067077637
37,322.51497258316334,515,0.48443007469177246
38,299.23123691777465,522,0.5160055160522461
39,317.1565144864751,499,0.5285370349884033
40,292.51443186291425,498,0.4812660217285156
41,299.9927892548933,500,0.49080753326416016
42,301.9824461529211,480,0.5312643051147461
43,273.66475408410633,499,0.5434911251068115
44,268.5499353832762,505,0.5345194339752197
45,266.4417678565059,470,0.5267515182495117
46,233.29743848757235,468,0.5764997005462646
47,256.1904708508062,469,0.5461151599884033
48,249.29464379829793,469,0.5764875411987305
49,254.92629077877493,487,0.5905146598815918
50,205.17800243257588,454,0.608065128326416
