K,MSE,ITERATIONS,EXECUTION TIME
2,20.415449058611596,291,0.10983824729919434
3,12.843288327716497,463,0.16316580772399902
4,10.31157810975759,717,0.2268233299255371
5,8.62890281428396,658,0.2640867233276367
6,7.4560978554923505,636,0.3082730770111084
7,6.6214577154311876,615,0.35463809967041016
8,5.9855964510426,667,0.40894126892089844
9,5.403329045776687,653,0.44901323318481445
10,4.894815765957102,651,0.49871349334716797
11,4.404151539151661,637,0.5439496040344238
12,4.169954737193231,605,0.5842585563659668
13,3.8649767887411643,654,0.6368043422698975
14,3.700051520376936,598,0.6772782802581787
15,3.4568264234095207,628,0.7454125881195068
16,3.379266098228618,592,0.7800803184509277
17,3.1557338607701264,585,0.8137421607971191
18,2.9423030790661313,534,0.8396604061126709
19,2.8597302632830868,528,0.8932895660400391
20,2.790063658521171,555,0.9616045951843262
21,2.558292583690349,566,0.9914710521697998
22,2.4635790361894307,528,1.0552384853363037
23,2.350922103533585,496,1.069972276687622
24,2.288976430844738,490,1.1047890186309814
25,2.2139211854286627,507,1.1625332832336426
26,2.125394243705002,489,1.1978764533996582
27,2.063110915484458,460,1.2530505657196045
28,2.035398821783085,502,1.2944066524505615
29,1.8820895473313315,461,1.3250517845153809
30,1.8353318123395646,457,1.3774595260620117
31,1.7716605100894764,446,1.447889804840088
32,1.717736000401726,472,1.4936623573303223
33,1.69552635397599,434,1.5202088356018066
34,1.6266908621959721,444,1.5857856273651123
35,1.586594963478584,451,1.630913257598877
36,1.534976622979571,428,1.637617826461792
37,1.423020511188874,422,1.662832498550415
38,1.4410625797020582,397,1.7342183589935303
39,1.3745587915558082,435,1.7714977264404297
40,1.3305928084304322,390,1.8072879314422607
41,1.2890198476965606,407,1.8478195667266846
42,1.2332503857703438,415,1.9081904888153076
43,1.2109537443940375,372,1.9271223545074463
44,1.1710943590704361,393,1.9830663204193115
45,1.109113941011476,369,2.0376555919647217
46,1.116553839369545,373,2.064901113510132
47,1.0808432922820412,361,2.115511417388916
48,1.0532666598031042,357,2.1488239765167236
49,0.9723374280717022,337,2.1867661476135254
50,0.9865572261853126,353,2.2443318367004395
