K,MSE,ITERATIONS,EXECUTION TIME
2,52.88282712016293,556,0.07558631896972656
3,38.31369052869924,584,0.0700528621673584
4,31.780724228837997,720,0.09084892272949219
5,27.230008766760097,567,0.07581853866577148
6,24.041238378368874,582,0.09164214134216309
7,21.535352533949805,563,0.0996239185333252
8,19.604115937888025,457,0.08992767333984375
9,17.77666405180515,462,0.09846949577331543
10,16.33047586995295,418,0.09946346282958984
11,14.889523477408813,410,0.10641026496887207
12,13.998885601532727,349,0.10056257247924805
13,13.134898953548444,331,0.10120964050292969
14,12.325649638505723,313,0.10524582862854004
15,11.709171600913724,286,0.10467171669006348
16,11.101007871169003,290,0.1044929027557373
17,10.520264974830294,279,0.10403609275817871
18,9.948995231729631,261,0.11999034881591797
19,9.4380290472109,255,0.11093330383300781
20,8.98247608703267,233,0.10677337646484375
21,8.577314378696675,228,0.11495351791381836
22,8.18665463981793,214,0.10934114456176758
23,7.833822608116344,203,0.11538004875183105
24,7.506210001516531,214,0.11664676666259766
25,7.206657842658919,196,0.1188206672668457
26,6.917213072418631,189,0.11206793785095215
27,6.629693024278478,191,0.12697863578796387
28,6.380229962744332,192,0.13601255416870117
29,6.1391951797283255,183,0.1295008659362793
30,5.9278119054988165,171,0.1254870891571045
31,5.721538589280929,162,0.12944245338439941
32,5.527377268546515,169,0.12802624702453613
33,5.350714042559671,169,0.12967586517333984
34,5.187965913330164,168,0.13527846336364746
35,5.018253753599987,155,0.13894343376159668
36,4.861460122107777,152,0.12939000129699707
37,4.707101490662347,151,0.13806486129760742
38,4.555374412508901,143,0.13161802291870117
39,4.405140036538821,148,0.1478290557861328
40,4.255380273414152,141,0.1496131420135498
41,4.1109771514624285,131,0.1429152488708496
42,3.976143440385762,138,0.15744876861572266
43,3.8435616120187386,140,0.15848040580749512
44,3.712865444213819,130,0.14162564277648926
45,3.595577481828123,134,0.15554189682006836
46,3.4641243197256184,135,0.16073179244995117
47,3.3495278733089062,129,0.154435396194458
48,3.2455600787527414,128,0.17092227935791016
49,3.1423632291260137,125,0.16226410865783691
50,3.0424518011693733,130,0.16845345497131348
