K,MSE,ITERATIONS,EXECUTION TIME
2,52.88282712016293,583,0.07640933990478516
3,38.31369052869924,576,0.07364630699157715
4,31.780724228837997,696,0.09388995170593262
5,27.230008766760097,565,0.08302879333496094
6,24.041238378368874,586,0.09818601608276367
7,21.535352533949805,555,0.10633969306945801
8,19.604115937888025,476,0.09608340263366699
9,17.78749365010793,461,0.09712457656860352
10,16.341305468255726,417,0.10853099822998047
11,14.900353075711593,406,0.10800409317016602
12,14.009715199835508,354,0.10867691040039062
13,13.145728551851223,318,0.09996342658996582
14,12.3364792368085,321,0.10910367965698242
15,11.720001199216501,287,0.10784530639648438
16,11.111837469471784,294,0.11652970314025879
17,10.52973812806834,288,0.12348651885986328
18,9.948995231729631,269,0.12125277519226074
19,9.4380290472109,259,0.12099003791809082
20,8.98247608703267,239,0.1173086166381836
21,8.577314378696675,225,0.1240987777709961
22,8.20083861818979,213,0.11840248107910156
23,7.8480065864882045,218,0.12564349174499512
24,7.520393979888391,196,0.12522268295288086
25,7.222034771214135,199,0.13258743286132812
26,6.932590000973846,189,0.13443684577941895
27,6.645069952833693,179,0.12381148338317871
28,6.395606891299548,189,0.1340944766998291
29,6.154572108283541,187,0.1416020393371582
30,5.93761347629155,173,0.1336369514465332
31,5.731340160073663,171,0.13309264183044434
32,5.53717883933925,171,0.14206910133361816
33,5.360515613352407,168,0.14976835250854492
34,5.197767484122898,160,0.13496160507202148
35,5.028055324392721,159,0.14885306358337402
36,4.871261692900511,153,0.14974355697631836
37,4.71690306145508,145,0.1498100757598877
38,4.565175983301635,150,0.15418505668640137
39,4.414941607331555,146,0.15380620956420898
40,4.265181844206886,131,0.14206933975219727
41,4.120778722255162,132,0.1668233871459961
42,3.9859450111784955,134,0.14988446235656738
43,3.853363182811472,137,0.16651153564453125
44,3.722667015006553,131,0.15814590454101562
45,3.605379052620858,131,0.15852046012878418
46,3.4739258905183528,134,0.15875482559204102
47,3.359739962920771,124,0.1667177677154541
48,3.255772168364606,132,0.16644811630249023
49,3.1525753187378776,126,0.17753291130065918
50,3.052663890781238,124,0.17284655570983887
