K,MSE,ITERATIONS,EXECUTION TIME
2,52.88282712016293,396,0.052670955657958984
3,38.31369052869924,468,0.06401729583740234
4,31.780724228837997,653,0.08977246284484863
5,27.230008766760097,687,0.10781335830688477
6,24.041238378368874,689,0.12108874320983887
7,21.536756218020635,712,0.13352298736572266
8,19.62243474414516,690,0.1495974063873291
9,17.82813904635863,707,0.1667952537536621
10,16.32611755354556,723,0.18403244018554688
11,14.943079221107503,709,0.19719195365905762
12,14.138507977892894,706,0.20967626571655273
13,13.399484525455009,697,0.22615575790405273
14,12.784665739174564,688,0.24713349342346191
15,12.127628566573744,635,0.2432255744934082
16,11.54646084196842,648,0.2536602020263672
17,11.149927823805372,680,0.27570128440856934
18,10.872631413671517,608,0.2764146327972412
19,9.848262042795294,611,0.280592679977417
20,9.941354410358558,610,0.28021979331970215
21,9.061405131169172,586,0.3093128204345703
22,8.848616627757323,565,0.3014092445373535
23,8.62001219972451,594,0.3339719772338867
24,8.267760292885622,590,0.3505856990814209
25,7.827276342312042,594,0.38257384300231934
26,8.019160273174801,567,0.3260934352874756
27,7.599747531226887,540,0.37268948554992676
28,7.258544060549677,561,0.3804910182952881
29,7.127736313307189,548,0.40498781204223633
30,7.07318323928687,531,0.3969278335571289
31,6.596488440530742,525,0.428112268447876
32,6.422894721504556,533,0.4326136112213135
33,5.89781534283002,528,0.41320228576660156
34,6.054609670713486,545,0.4587397575378418
35,5.792961961953527,491,0.46239328384399414
36,5.936588792916149,504,0.467221736907959
37,5.577597376341247,522,0.505394697189331
38,5.510468327664423,485,0.472484827041626
39,5.138809911555207,455,0.4281728267669678
40,5.137785183698463,476,0.47120213508605957
41,4.929269594673,481,0.49318933486938477
42,4.939971866982704,483,0.5747849941253662
43,4.764422816035092,454,0.47231101989746094
44,4.696600489851849,450,0.5366814136505127
45,4.635114233687553,446,0.5427103042602539
46,4.355011508695256,459,0.5713362693786621
47,4.132326250697892,427,0.5547928810119629
48,4.031968527597502,439,0.5512917041778564
49,4.035358782024845,427,0.5405793190002441
50,3.8850226264384986,451,0.6222667694091797
