K,MSE,ITERATIONS,EXECUTION TIME
2,1.3296967302789398e-05,833,0.09851884841918945
3,7.662721251966431e-06,1120,0.12051749229431152
4,6.0582811435283546e-06,1122,0.1295177936553955
5,5.0053032293329025e-06,763,0.10752391815185547
6,4.285659040870193e-06,847,0.12603163719177246
7,3.7904306303682134e-06,807,0.13351917266845703
8,3.4175416107062873e-06,787,0.14252328872680664
9,3.0674564451826924e-06,883,0.16903305053710938
10,2.7715844218567653e-06,779,0.16403770446777344
11,2.4794976183351025e-06,570,0.14451909065246582
12,2.322294182732776e-06,558,0.14803862571716309
13,2.1681739432732883e-06,518,0.15251660346984863
14,2.025251435555653e-06,498,0.15503787994384766
15,1.908671536599016e-06,462,0.15651893615722656
16,1.7970649944798467e-06,446,0.15703654289245605
17,1.699125562026893e-06,437,0.1640186309814453
18,1.601471179779601e-06,421,0.16651010513305664
19,1.514964322879564e-06,405,0.17002081871032715
20,1.4291950759526273e-06,403,0.17402100563049316
21,1.362957439465795e-06,373,0.1745145320892334
22,1.2986129879211106e-06,354,0.17201781272888184
23,1.2421418840169451e-06,347,0.1800062656402588
24,1.188142983665763e-06,357,0.18702125549316406
25,1.1382727479469779e-06,342,0.18902015686035156
26,1.08977580970393e-06,339,0.1950209140777588
27,1.0428179019195127e-06,332,0.19802093505859375
28,1.0016319181849198e-06,323,0.1990206241607666
29,9.60620116119415e-07,314,0.20302319526672363
30,9.269261145306018e-07,290,0.1970212459564209
31,8.94683501617699e-07,287,0.2010202407836914
32,8.627260991156405e-07,272,0.20002055168151855
33,8.358378246198228e-07,268,0.20402145385742188
34,8.10744290702381e-07,265,0.2060225009918213
35,7.859670242416072e-07,263,0.21102428436279297
36,7.615000133798233e-07,256,0.21301984786987305
37,7.371976430414762e-07,244,0.21201848983764648
38,7.131602045573615e-07,242,0.21602082252502441
39,6.896121000909972e-07,241,0.2225334644317627
40,6.66362491075212e-07,239,0.22202157974243164
41,6.432140492451666e-07,221,0.21505022048950195
42,6.17419658732743e-07,213,0.21803665161132812
43,5.955992459227843e-07,207,0.21803951263427734
44,5.744106658100989e-07,205,0.21704387664794922
45,5.53520268176122e-07,201,0.2225489616394043
46,5.35462235995432e-07,199,0.22803878784179688
47,5.190114482633845e-07,196,0.227036714553833
48,5.031265505328619e-07,194,0.22855377197265625
49,4.874540776578229e-07,193,0.23003602027893066
50,4.718225078415017e-07,192,0.2360367774963379
