K,MSE,ITERATIONS,EXECUTION TIME
2,1.3296967302789398e-05,499,0.060517311096191406
3,7.662721251966431e-06,723,0.07751917839050293
4,6.0582811435283546e-06,795,0.09151649475097656
5,5.0053032293329025e-06,520,0.07399940490722656
6,4.285659040870193e-06,571,0.08552145957946777
7,3.7904306303682134e-06,530,0.09051990509033203
8,3.4175416107062873e-06,498,0.09151935577392578
9,3.0674564451826924e-06,530,0.10851836204528809
10,2.7727944187372344e-06,488,0.1085207462310791
11,2.4807076152155716e-06,379,0.09451794624328613
12,2.323504179613245e-06,375,0.10151243209838867
13,2.167855787660322e-06,346,0.10451674461364746
14,2.051256046797789e-06,316,0.10052037239074707
15,1.931153979617406e-06,325,0.1075124740600586
16,1.814574080660769e-06,299,0.10951709747314453
17,1.7029675385415999e-06,278,0.1075131893157959
18,1.6050281060886462e-06,283,0.11402225494384766
19,1.517152761421059e-06,273,0.11751103401184082
20,1.4313835144941223e-06,262,0.1185145378112793
21,1.3628869234283414e-06,234,0.11351227760314941
22,1.298542471883657e-06,223,0.11551451683044434
23,1.2420713679794915e-06,210,0.11551690101623535
24,1.1880724676283094e-06,210,0.12102365493774414
25,1.1382022319095242e-06,206,0.12151336669921875
26,1.0897052936664764e-06,202,0.12551093101501465
27,1.042747385882059e-06,197,0.12952041625976562
28,1.0017355838165543e-06,199,0.13102245330810547
29,9.627149403224067e-07,187,0.12951183319091797
30,9.289067885998037e-07,182,0.13252019882202148
31,8.952127870109905e-07,171,0.1310274600982666
32,8.632553845089319e-07,170,0.13451409339904785
33,8.346037803086404e-07,173,0.13951754570007324
34,8.077663622430009e-07,167,0.1410207748413086
35,7.826728283255591e-07,160,0.14251112937927246
36,7.578955618647853e-07,166,0.14902782440185547
37,7.334285510030014e-07,156,0.14551162719726562
38,7.091261806646543e-07,150,0.14702749252319336
39,6.850887421805396e-07,154,0.14751172065734863
40,6.615406377141753e-07,148,0.14782953262329102
41,6.3829102869839e-07,151,0.152512788772583
42,6.164706158884314e-07,134,0.1460249423980713
43,5.95282035775746e-07,139,0.14951229095458984
44,5.742092851201974e-07,137,0.15405750274658203
45,5.533188874862205e-07,135,0.15451931953430176
46,5.327541356958676e-07,130,0.1550426483154297
47,5.146961035151776e-07,131,0.15752458572387695
48,4.982453157831301e-07,127,0.16203761100769043
49,4.823604180526075e-07,122,0.15703988075256348
50,4.666879451775685e-07,124,0.1625204086303711
