K,MSE,ITERATIONS,EXECUTION TIME
2,1.3296967302789398e-05,619,0.07651662826538086
3,7.662721251966431e-06,745,0.08751893043518066
4,6.0582811435283546e-06,788,0.10052037239074707
5,5.006116904460178e-06,525,0.0825185775756836
6,4.286472715997469e-06,579,0.09551811218261719
7,3.793628387316339e-06,533,0.10151934623718262
8,3.418355285833563e-06,534,0.10551905632019043
9,3.0674564451826924e-06,554,0.11751937866210938
10,2.7727944187372344e-06,496,0.11551761627197266
11,2.4807076152155716e-06,373,0.10452866554260254
12,2.323504179613245e-06,379,0.10851812362670898
13,2.1693206646578034e-06,341,0.11052656173706055
14,2.0290491697938506e-06,326,0.10903120040893555
15,1.9124692708372137e-06,312,0.11351728439331055
16,1.8008627287180445e-06,292,0.1125180721282959
17,1.6994262597158638e-06,285,0.11751961708068848
18,1.6014868272629101e-06,285,0.12054085731506348
19,1.514979970362873e-06,267,0.12152338027954102
20,1.4292107234359364e-06,254,0.12202215194702148
21,1.362957439465795e-06,244,0.12450933456420898
22,1.2986129879211106e-06,222,0.12452507019042969
23,1.2421418840169451e-06,211,0.12352728843688965
24,1.188142983665763e-06,211,0.12603545188903809
25,1.1382727479469779e-06,208,0.13051486015319824
26,1.08977580970393e-06,212,0.13550925254821777
27,1.0428179019195127e-06,197,0.1350421905517578
28,1.0016319181849198e-06,193,0.13551807403564453
29,9.60620116119415e-07,191,0.15803289413452148
30,9.269261145306018e-07,182,0.13852334022521973
31,8.94683501617699e-07,185,0.14452695846557617
32,8.627260991156405e-07,165,0.13803315162658691
33,8.358378246198228e-07,173,0.1475224494934082
34,8.10744290702381e-07,170,0.1480400562286377
35,7.859670242416072e-07,162,0.1505122184753418
36,7.615000133798233e-07,159,0.15003728866577148
37,7.371976430414762e-07,156,0.15252161026000977
38,7.131602045573615e-07,152,0.1520402431488037
39,6.896121000909972e-07,153,0.15752530097961426
40,6.66362491075212e-07,152,0.15703177452087402
41,6.432140492451666e-07,142,0.1560380458831787
42,6.17419658732743e-07,134,0.153519868850708
43,5.955992459227843e-07,130,0.15504026412963867
44,5.744106658100989e-07,135,0.15851759910583496
45,5.53520268176122e-07,135,0.16303777694702148
46,5.35462235995432e-07,132,0.1630392074584961
47,5.190114482633845e-07,129,0.16751861572265625
48,5.031265505328619e-07,125,0.16504144668579102
49,4.874540776578229e-07,121,0.17003393173217773
50,4.718225078415017e-07,123,0.17051982879638672
