K,MSE,ITERATIONS,EXECUTION TIME
2,1.3296967302789398e-05,365,0.11201715469360352
3,7.662721251966431e-06,573,0.1675095558166504
4,6.0582811435283546e-06,656,0.22002410888671875
5,5.0053032293329025e-06,622,0.25952696800231934
6,4.285659040870193e-06,650,0.3105313777923584
7,3.793628387316339e-06,662,0.3570826053619385
8,3.4157551238589434e-06,686,0.4090414047241211
9,3.0710045118009788e-06,690,0.45505428314208984
10,2.7684427876817352e-06,635,0.4985499382019043
11,2.504518691659463e-06,634,0.5600950717926025
12,2.3484167844811665e-06,620,0.5890982151031494
13,2.1807850506538884e-06,671,0.649566650390625
14,2.084165203086741e-06,657,0.6940577030181885
15,1.943200229836961e-06,564,0.7240667343139648
16,1.8732636599683161e-06,565,0.7745678424835205
17,1.7472206699231663e-06,598,0.8255963325500488
18,1.6896024023216327e-06,569,0.8650863170623779
19,1.582063943406098e-06,556,0.9141073226928711
20,1.4577147540162372e-06,510,0.9315915107727051
21,1.4091634481516735e-06,581,1.0000996589660645
22,1.3529480441532016e-06,539,1.028991937637329
23,1.332920736341059e-06,539,1.0927238464355469
24,1.2588066012897414e-06,511,1.1162128448486328
25,1.19354395278215e-06,501,1.1566219329833984
26,1.151972977786464e-06,530,1.2186574935913086
27,1.0946757073027058e-06,522,1.2491507530212402
28,1.0939192796044495e-06,504,1.300689935684204
29,1.0409269354250128e-06,464,1.3227696418762207
30,1.0061504294167634e-06,479,1.3689351081848145
31,9.938983184243355e-07,498,1.4352304935455322
32,9.598651473652353e-07,444,1.4794859886169434
33,9.322666117972389e-07,439,1.5181384086608887
34,8.858413763634942e-07,435,1.5627248287200928
35,8.568339056047591e-07,413,1.5917558670043945
36,8.329616820734742e-07,442,1.6373510360717773
37,8.073231824168303e-07,397,1.6538841724395752
38,7.872903485806049e-07,406,1.725250005722046
39,7.227476851445758e-07,400,1.7771625518798828
40,7.382485603946165e-07,403,1.8137707710266113
41,7.214009865030846e-07,395,1.8563287258148193
42,6.686402651556733e-07,374,1.8868141174316406
43,6.662377554089716e-07,388,1.9722931385040283
44,6.425818952493501e-07,392,1.9812419414520264
45,6.332564700395338e-07,390,2.034012794494629
46,6.057245872659323e-07,388,2.0830323696136475
47,5.701380643152731e-07,366,2.125394821166992
48,5.634659301367861e-07,364,2.1711902618408203
49,5.456547198523509e-07,343,2.195850372314453
50,5.624980966567605e-07,347,2.175044298171997
