K,MSE,ITERATIONS,EXECUTION TIME
2,20.415449058611596,372,0.05167436599731445
3,12.843288327716497,523,0.07184886932373047
4,10.31157810975759,782,0.10697388648986816
5,8.62890281428396,779,0.12094473838806152
6,7.456664703954219,738,0.1317307949066162
7,6.617970737885798,700,0.13892221450805664
8,5.997703196768945,683,0.15095210075378418
9,5.402893680392393,690,0.16484832763671875
10,4.897278048278565,695,0.18029260635375977
11,4.621642190911817,727,0.21080613136291504
12,4.1893721489874505,683,0.20832324028015137
13,3.97573720363951,673,0.22300219535827637
14,3.767748805559148,684,0.23488140106201172
15,3.561339050919552,677,0.2529258728027344
16,3.36063639017886,648,0.2570681571960449
17,3.2613606216201374,645,0.29378294944763184
18,3.0086600423799656,654,0.2947263717651367
19,2.8791748194700784,606,0.29488325119018555
20,2.8501992334035213,645,0.3209359645843506
21,2.708754978221554,594,0.3207859992980957
22,2.5258447177993935,652,0.3489048480987549
23,2.507586899124779,590,0.3435688018798828
24,2.419145643074647,586,0.35730528831481934
25,2.3044277447454116,593,0.3736684322357178
26,2.3070556928925474,570,0.37180328369140625
27,2.1674197250221168,574,0.3853147029876709
28,2.091183828137472,615,0.4256141185760498
29,1.9473093199196332,601,0.4236483573913574
30,1.9404991199221653,554,0.42205286026000977
31,1.8050979321691867,539,0.44073033332824707
32,1.81279442744445,544,0.45266270637512207
33,1.7685140418753575,540,0.44390439987182617
34,1.7175903612062315,532,0.4612264633178711
35,1.6968376069078368,516,0.4709479808807373
36,1.6294625119105415,528,0.4872901439666748
37,1.5239496189299446,505,0.48165154457092285
38,1.5036982050450365,507,0.5025441646575928
39,1.536409260880016,513,0.5102417469024658
40,1.4013460839744551,489,0.5087707042694092
41,1.2911840290570202,498,0.5259664058685303
42,1.3902924555808116,483,0.5230832099914551
43,1.3228386931121212,471,0.5297060012817383
44,1.2481645732109936,462,0.5357394218444824
45,1.1964883991258546,476,0.5862233638763428
46,1.2389865618048908,453,0.5816628932952881
47,1.1414233114020353,453,0.5734462738037109
48,1.1427087003024603,451,0.5959889888763428
49,1.0820584219677547,443,0.5959198474884033
50,1.1179525105003325,443,0.5968716144561768
