K,MSE,ITERATIONS,EXECUTION TIME
2,31.67079019240231,6505,3.4429023265838623
3,29.70970563276328,6034,2.195075750350952
4,28.545846973125478,4166,1.4929614067077637
5,27.56221147913913,2939,1.0966300964355469
6,26.715627550802914,2372,0.9425532817840576
7,25.887527799584735,2590,1.0524332523345947
8,25.107911169252997,2449,1.0192415714263916
9,24.35369568416046,2269,0.9549453258514404
10,23.793218873107506,2191,0.9398205280303955
11,23.279231163077114,1842,0.8419246673583984
12,22.844835657242,1648,0.7911620140075684
13,22.412939584432266,1581,0.7920207977294922
14,21.982723641850598,1493,0.76715087890625
15,21.563389642087753,1492,0.7995767593383789
16,21.211420387755652,1297,0.7433526515960693
17,20.863446914955105,1215,0.7233033180236816
18,20.52691577988463,1212,0.7500114440917969
19,20.200283600318933,1197,0.7665960788726807
20,19.882855119051897,1161,0.7833297252655029
21,19.569897833876517,1147,0.7913014888763428
22,19.260148278318088,1115,0.775352954864502
23,18.966879971662788,1013,0.76629638671875
24,18.690245434664853,1008,0.7627177238464355
25,18.426954520915622,1000,0.7707030773162842
26,18.163991182515296,990,0.8000788688659668
27,17.899875932122463,992,0.8166306018829346
28,17.641509331886212,947,0.8019945621490479
29,17.370794662987365,924,0.8146224021911621
30,17.13238837242661,907,0.8235294818878174
31,16.918270628701933,849,0.79752516746521
32,16.706108795652128,849,0.8198597431182861
33,16.484294038729413,856,0.8258166313171387
34,16.264107970527924,847,0.8498997688293457
35,16.04553175194844,822,0.8587472438812256
36,15.844361283251626,794,0.841181755065918
37,15.649963987253814,791,0.8500747680664062
38,15.46165703776013,788,0.884570837020874
39,15.26872589692751,823,0.9157688617706299
40,15.089981284024994,751,0.8672769069671631
41,14.911596288572488,749,0.8905861377716064
42,14.738499945204385,737,0.9018328189849854
43,14.564286167324115,746,0.9219021797180176
44,14.39194901122599,731,0.9106519222259521
45,14.222606606473551,724,0.9219982624053955
46,14.059135704900491,714,0.9271328449249268
47,13.911147302784324,711,0.9415056705474854
48,13.743829988431957,707,0.9501464366912842
49,13.597491340007542,704,0.9806222915649414
50,13.456170473253348,694,0.9692714214324951
